"This data table captures the annual data on the CalFresh population for elderly, ages 18-59, children, English as a second language, number of individuals receiving WIC, percentage of individuals on CalFresh who are also receiving WIC, total population for the calendar year, total elderly population of 60 plus, total populations of children under 18, the total number of English as a second language over the age of 5, and total SSI recipients. The data table begins in cell A2. ",,,,,,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Elderly CalFresh July,Age 18 to 59 CalFresh July,Children CalFresh July,ESL CalFresh July CY,WIC Recipients CalFresh Reachable,Percentage of CalFresh Persons Receiving WIC,Total Population CY,Total Elderly 60Plus CY,Total Children Under 18 CY,Total ESL Over age 5 CY,Total SSI Recipients CY
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2015.0,6983.0,27846.0,19320.0,21618.0,,,863108.0,183363.0,121514.0,100767.0,37327.0
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2015.0,5030.0,55281.0,64478.0,24104.0,,,727547.0,123054.0,198377.0,63826.0,27357.0
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2015.0,1443.0,9512.0,8334.0,3385.0,,,276844.0,73091.0,49981.0,10271.0,4209.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2015.0,3523.0,12023.0,17117.0,14437.0,,,764379.0,166867.0,161548.0,58320.0,10434.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2015.0,1754.0,14238.0,21903.0,14578.0,,,444900.0,86387.0,100349.0,48492.0,8191.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2015.0,9780.0,47649.0,54927.0,48326.0,,,1915102.0,350400.0,442255.0,176469.0,42694.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2015.0,2023.0,11558.0,12562.0,9634.0,,,274697.0,58383.0,57881.0,21297.0,4931.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,2015.0,1342.0,14396.0,10429.0,500.0,,,178777.0,47459.0,37929.0,2477.0,9252.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,2015.0,35.0,204.0,93.0,*,,,3147.0,1199.0,469.0,36.0,85.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,2015.0,414.0,3801.0,2949.0,192.0,,,44500.0,14392.0,8777.0,661.0,2389.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,2015.0,2537.0,22766.0,20554.0,6980.0,,,429267.0,88191.0,100373.0,21251.0,11654.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2015.0,3199.0,16968.0,17640.0,10913.0,,,501182.0,125873.0,99911.0,29579.0,8388.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2015.0,4006.0,45098.0,46331.0,17652.0,,,538372.0,93026.0,144320.0,48625.0,19884.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2015.0,503.0,6155.0,6729.0,2323.0,,,97618.0,19092.0,25208.0,8773.0,3793.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2015.0,468.0,5327.0,5161.0,1273.0,,,63970.0,15536.0,15464.0,2169.0,3068.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2015.0,119.0,1155.0,639.0,*,,,13562.0,4842.0,2195.0,100.0,643.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2015.0,5048.0,53491.0,69084.0,41179.0,,,463291.0,71023.0,144018.0,58345.0,17848.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2015.0,456.0,3348.0,2063.0,90.0,,,54525.0,18311.0,8920.0,577.0,1615.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2015.0,5305.0,32599.0,40201.0,28284.0,,,852013.0,170129.0,201282.0,85361.0,14875.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2015.0,1268.0,10532.0,9376.0,5571.0,,,212686.0,35269.0,47469.0,13104.0,5260.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2015.0,471.0,6984.0,6495.0,1485.0,,,75579.0,12715.0,21542.0,3808.0,3710.0
Statewide,,,,,2016.0,275731.0,1953549.0,2130350.0,1269610.0,148957.0,,39354432.0,7672542.0,9197902.0,3750777.0,1171642.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2016.0,10695.0,54015.0,54246.0,37866.0,4039.0,0.647727979,1637712.0,316180.0,345421.0,142005.0,46141.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2016.0,15.0,90.0,45.0,0.0,*,*,1148.0,378.0,208.0,11.0,34.0
Amador,US-06005,-120.238969,38.46328,C-IV,2016.0,293.0,1848.0,1235.0,100.0,80.0,0.620772947,37191.0,12901.0,5644.0,570.0,677.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2016.0,1940.0,18169.0,12890.0,2410.0,748.0,0.629648116,225125.0,55290.0,45620.0,7445.0,10550.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2016.0,572.0,2926.0,1790.0,105.0,84.0,0.606060606,44791.0,16474.0,7363.0,277.0,1015.0
