"This data table captures Program Reach Index data. It provides data on CalFresh eligible individuals, the estimate frequency, and the PRI percentage. The table begins in cell A2. ",,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,CalFresh Eligibles CY,PRI Estimate Frequency,5 Year Estimate,PRI
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2014.0,9986.62194,5-yr. Est.,2010-2014,0.55096208
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2014.0,114149.93463,Annual Est.,,0.649979931
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2014.0,50238.2450607,Annual Est.,,0.370711928
Yuba,US-06115,-121.499162,39.278915,C-IV,2014.0,17375.6149,Annual Est.,,0.766
Statewide,,,,,2015.0,6409430.17984,Annual Est.,,0.697330164
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2015.0,189599.382475,Annual Est.,,0.637222979
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2015.0,251.762353684,5-yr. Est.,2011-2015,0.665971954
Amador,US-06005,-120.238969,38.46328,C-IV,2015.0,4641.21526994,5-yr. Est.,2011-2015,0.731830595
Butte,US-06007,-121.5660076,39.723785,C-IV,2015.0,53294.935691,Annual Est.,,0.600022615
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2015.0,6513.43816614,5-yr. Est.,2011-2015,0.834121682
Colusa,US-06011,-122.4386143,39.169245,C-IV,2015.0,3891.27939813,5-yr. Est.,2011-2015,0.397812607
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2015.0,129091.915114,Annual Est.,,0.556041148
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2015.0,5724.01490251,5-yr. Est.,2011-2015,0.907317694
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2015.0,20083.8388832,Annual Est.,,0.654095568
Fresno,US-06019,-120.862059,36.74633,CalWIN,2015.0,261386.451468,Annual Est.,,0.873222702
Glenn,US-06021,-122.1147288,39.591764,C-IV,2015.0,6488.52258116,5-yr. Est.,2011-2015,0.555878983
Humboldt,US-06023,-123.959972,40.73356,C-IV,2015.0,31850.8618046,Annual Est.,,0.658778616
Imperial,US-06025,-115.058652,33.02615,C-IV,2015.0,47595.4528319,Annual Est.,,0.907334576
Inyo,US-06027,-117.7797286,36.626,C-IV,2015.0,2591.64347298,5-yr. Est.,2011-2015,0.803029695
Kern,US-06029,-118.4426011,35.29441,C-IV,2015.0,207468.110462,Annual Est.,,0.76605508
Kings,US-06031,-119.6135104,36.138775,C-IV,2015.0,35958.1123693,Annual Est.,,0.686006533
Lake,US-06033,-122.9624445,39.124455,C-IV,2015.0,14762.3246435,Annual Est.,,0.834748837
Lassen,US-06035,-120.2636913,40.446085,C-IV,2015.0,3734.38445912,5-yr. Est.,2011-2015,0.853933681
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2015.0,1776819.9017,Annual Est.,,0.662760615
Madera,US-06039,-119.84174,37.27052,C-IV,2015.0,32412.6699815,Annual Est.,,0.918082343
Marin,US-06041,-122.870429,38.068145,C-IV,2015.0,23708.4569124,Annual Est.,,0.446507339
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2015.0,3054.69051512,5-yr. Est.,2011-2015,0.688940496
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2015.0,19173.6480779,Annual Est.,,0.68801461
Merced,US-06047,-120.1246993,37.18687,C-IV,2015.0,79373.2248558,Annual Est.,,0.735868425
Modoc,US-06049,-120.1993372,41.590546,C-IV,2015.0,2017.08681616,5-yr. Est.,2011-2015,0.495764482
Mono,US-06051,-118.7402371,38.0878955,C-IV,2015.0,1202.93534982,5-yr. Est.,2011-2015,0.691641492
Monterey,US-06053,-120.9044897,36.35433,C-IV,2015.0,67987.3326427,Annual Est.,,0.75962435
Napa,US-06055,-122.5128064,38.509635,C-IV,2015.0,19657.1565494,Annual Est.,,0.38161674
Nevada,US-06057,-120.3163119,39.266135,C-IV,2015.0,18076.1028522,Annual Est.,,0.428000626
Orange,US-06059,-117.8002615,33.66707,CalWIN,2015.0,420793.169967,Annual Est.,,0.610739278
Placer,US-06061,-120.7858989,39.013999,CalWIN,2015.0,38477.5160816,Annual Est.,,0.473716043
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2015.0,3447.572362,5-yr. Est.,2011-2015,0.594693826
Riverside,US-06065,-115.0250859,33.752845,C-IV,2015.0,423742.190648,Annual Est.,,0.694840337
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2015.0,264162.852694,Annual Est.,,0.832602873
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2015.0,7772.21144198,5-yr. Est.,2011-2015,0.783474997
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2015.0,433056.803175,Annual Est.,,0.926655188
