"This data table captures quarterly churn data on the percentage of reapplications in 30 days, 90 days, and the percentage of scheduled recertifications for 30 days, and 90 days. The data table begins in cell A2. ",,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Calendar Year,Quarter,30 Day Churn Pct of Reapplications,90 Day Churn Pct of Reapplications,30 Day Percentage of Scheduled Recertifications,90 Day Percentage of Scheduled Recertifications
Orange,US-06059,-117.8002615,33.66707,CalWIN,2014.0,Q2,0.0927,0.1733,0.0588,0.096
Placer,US-06061,-120.7858989,39.013999,CalWIN,2014.0,Q2,0.0988,0.1836,0.0621,0.0997
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2014.0,Q2,0.0735,0.1347,0.2286,0.249
Riverside,US-06065,-115.0250859,33.752845,C-IV,2014.0,Q2,0.1598,0.2404,0.2371,0.267
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2014.0,Q2,0.098,0.1723,0.0575,0.0934
San Benito,US-06069,-121.2131455,36.5928495,C-IV,2014.0,Q2,0.1341,0.2454,0.2622,0.2942
San Bernardino,US-06071,-116.6760973,34.840011,C-IV,2014.0,Q2,0.1981,0.2723,0.3055,0.3336
San Diego,US-06073,-116.693716,33.019645,CalWIN,2014.0,Q2,0.122,0.2048,0.0622,0.1031
San Francisco,US-06075,-122.4847727,37.759845,CalWIN,2014.0,Q2,0.117,0.196,0.101,0.1447
San Joaquin,US-06077,-120.9449271,37.889845,C-IV,2014.0,Q2,0.1328,0.2057,0.2674,0.2991
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,2014.0,Q2,0.067,0.1309,0.0402,0.0727
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,2014.0,Q2,0.0865,0.1707,0.056,0.0936
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,2014.0,Q2,0.0773,0.142,0.049,0.0843
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,2014.0,Q2,0.0343,0.1166,0.0084,0.0465
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,2014.0,Q2,0.0302,0.0919,0.0175,0.0528
Shasta,US-06089,-122.0883555,40.735175,C-IV,2014.0,Q2,0.1261,0.1967,0.2353,0.2647
Sierra,US-06091,-120.0617973,39.58418,C-IV,2014.0,Q2,0.0667,0.1,0.1333,0.1667
