"This data table captures the point in time count for Medi-Cal persons, CalFresh persons, and dual enrollment  for Medi-Cal and CalFresh persons. The data table begins in cell A2. ",,,,,,,,,,,,
County,FIPS,County Center X,County Center Y,Consortium,Month,Date,Calendar Year,Federal Fiscal Year,State Fiscal Year,MEDS MediCal Persons,MEDS CalFresh Persons,Dual Enroll Persons in Medi-Cal and CalFresh
San Luis Obispo,US-06079,-120.1080592,35.34633,CalWIN,July,41821.0,2014.0,2014.0,2014/15,55397.0,18481.0,16830.0
San Mateo,US-06081,-122.2406398,37.407705,CalWIN,July,41821.0,2014.0,2014.0,2014/15,139466.0,32375.0,29290.0
Santa Barbara,US-06083,-120.0351675,34.743715,CalWIN,July,41821.0,2014.0,2014.0,2014/15,123224.0,35440.0,33155.0
Santa Clara,US-06085,-121.6161794,37.18939,CalWIN,July,41821.0,2014.0,2014.0,2014/15,402662.0,114400.0,103150.0
Santa Cruz,US-06087,-122.0401593,37.06834,CalWIN,July,41821.0,2014.0,2014.0,2014/15,69370.0,23745.0,21558.0
Shasta,US-06089,-122.0883555,40.735175,C-IV,July,41821.0,2014.0,2014.0,2014/15,60346.0,25202.0,23305.0
Sierra,US-06091,-120.0617973,39.58418,C-IV,July,41821.0,2014.0,2014.0,2014/15,760.0,297.0,275.0
Siskiyou,US-06093,-122.5559892,41.5008525,C-IV,July,41821.0,2014.0,2014.0,2014/15,15915.0,6970.0,6579.0
Solano,US-06095,-121.6688337,38.2894915,CalWIN,July,41821.0,2014.0,2014.0,2014/15,108263.0,44409.0,40561.0
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,July,41821.0,2014.0,2014.0,2014/15,112758.0,36188.0,33171.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,July,41821.0,2014.0,2014.0,2014/15,205621.0,93877.0,85539.0
Sutter,US-06101,-121.714735,39.02038,C-IV,July,41821.0,2014.0,2014.0,2014/15,37217.0,13235.0,12357.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,July,41821.0,2014.0,2014.0,2014/15,25693.0,11258.0,10531.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,July,41821.0,2014.0,2014.0,2014/15,4418.0,1896.0,1748.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,July,41821.0,2014.0,2014.0,2014/15,232124.0,123106.0,115648.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,July,41821.0,2014.0,2014.0,2014/15,13682.0,5637.0,5274.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,July,41821.0,2014.0,2014.0,2014/15,205218.0,72998.0,64020.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,July,41821.0,2014.0,2014.0,2014/15,50253.0,18792.0,17030.0
Yuba,US-06115,-121.499162,39.278915,C-IV,July,41821.0,2014.0,2014.0,2014/15,28306.0,13611.0,12620.0
Statewide,,,,,October,41913.0,2014.0,2015.0,2014/15,12067653.0,4491364.0,4000885.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,October,41913.0,2014.0,2015.0,2014/15,404916.0,128634.0,114994.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,October,41913.0,2014.0,2015.0,2014/15,386.0,185.0,167.0
Amador,US-06005,-120.238969,38.46328,C-IV,October,41913.0,2014.0,2015.0,2014/15,7515.0,3426.0,3074.0
Butte,US-06007,-121.5660076,39.723785,C-IV,October,41913.0,2014.0,2015.0,2014/15,78368.0,31963.0,29963.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,October,41913.0,2014.0,2015.0,2014/15,11432.0,5389.0,4944.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,October,41913.0,2014.0,2015.0,2014/15,8263.0,1695.0,1623.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,October,41913.0,2014.0,2015.0,2014/15,245710.0,73685.0,66810.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,October,41913.0,2014.0,2015.0,2014/15,11190.0,5192.0,4969.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,October,41913.0,2014.0,2015.0,2014/15,34963.0,13123.0,11784.0
