county,black_pa,black_na,black_tot,hispanic_pa,hispanic_na,hispanic_tot,asian_pac_islander_pa,asian_pac_islander_na,asian_pac_islander_tot,am_indian_alaskan_nat_pa,am_indian_alaskan_nat_na,am_indian_alaskan_nat_tot,white_pa,white_na,white_tot,filipino_pa,filipino_na,filipino_tot,other_pa,other_na,other_tot,total_pa,total_na,total_tot,chinese_pa,chinese_na,chinese_tot,cambodian_pa,cambodian_na,cambodian_tot,japanese_pa,japanese_na,japanese_tot,korean_pa,korean_na,korean_tot,samoan_pa,samoan_na,samoan_tot,asian_indian_pa,asian_indian_na,asian_indian_tot,hawaiian_pa,hawaiian_na,hawaiian_tot,guamanian_pa,guamanian_na,guamanian_tot,laotian_pa,laotian_na,laotian_tot,vietnamese_pa,vietnamese_na,vietnamese_tot,asian_pac_islander_other_pa,asian_pac_islander_other_na,asian_pac_islander_other_tot,asian_pac_islander_total_pa,asian_pac_islander_total_na,asian_pac_islander_total_tot,year,month,quarter,fulldate
Marin,0,1,1,0,16,16,0,5,5,0,0.0,0,0,9,9,0,0,0,0,0,0,0,31,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5.0,5,2002,JUL,3.0,2002-07-01
Mariposa,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Mendocino,0,0,0,0,4,4,0,1,1,0,0.0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,2002,JUL,3.0,2002-07-01
Merced,0,0,0,1,25,26,0,3,3,0,0.0,0,0,2,2,0,0,0,0,0,0,1,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3.0,3,2002,JUL,3.0,2002-07-01
Modoc,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Mono,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Monterey,0,1,1,2,18,20,0,1,1,0,0.0,0,1,4,5,0,0,0,0,0,0,3,24,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,2002,JUL,3.0,2002-07-01
Napa,0,0,0,0,14,14,0,0,0,0,0.0,0,0,0,0,0,2,2,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Nevada,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Orange,2,9,11,4,122,126,24,312,336,0,0.0,0,8,42,50,2,12,14,0,1,1,40,498,538,1,5,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23,299,322,0,2,2,24,312.0,336,2002,JUL,3.0,2002-07-01
Placer,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Plumas,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2002,JUL,3.0,2002-07-01
Riverside,2,15,17,4,58,62,0,2,2,0,1.0,1,3,45,48,0,1,1,0,0,0,9,122,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2.0,2,2002,JUL,3.0,2002-07-01
