,,,,,,,, ,,American Indian/Alaskan Native,,,,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,,ASIAN-PACIFIC ISLANDER CATEGORY,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,Total,
,,Black,,,Hispanic,,Asian Pacific Islander,,,,,,,White,,,Filipino,,,Other,,Total,Total,,,Chinese,,,Cambodian,,,Japanese,,,Korean,,,Samoan,,,Asian Indian,,,Hawaiian,,,Guamanian,,,Laotian,,,Vietnamese,,Asian-Pacific Islander,,,Pacific-Islander,,
,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total,PA,NA,Total
Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orange,0.0,2.0,2.0,3.0,48.0,51.0,3.0,49.0,52.0,0.0,0.0,0.0,1.0,11.0,12.0,0.0,5.0,5.0,0.0,0.0,0.0,7.0,115.0,122.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,49.0,0.0,0.0,0.0,3.0,49.0,52.0
Placer,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plumas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riverside,2.0,7.0,9.0,7.0,25.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,52.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacramento,24.0,42.0,66.0,12.0,20.0,32.0,12.0,20.0,32.0,1.0,1.0,2.0,30.0,52.0,82.0,1.0,1.0,2.0,0.0,0.0,0.0,80.0,136.0,216.0,1.0,2.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,9.0,4.0,7.0,11.0,12.0,20.0,32.0
San Benito,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
San Bernardino,0.0,0.0,0.0,3.0,157.0,160.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,23.0,23.0,0.0,0.0,0.0,3.0,225.0,228.0,0.0,16.0,16.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,35.0,35.0
San Diego,2.0,23.0,25.0,3.0,45.0,48.0,1.0,9.0,10.0,0.0,0.0,0.0,3.0,45.0,48.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,125.0,134.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,0.0,1.0,1.0,1.0,9.0,10.0
San Francisco,4.0,133.0,137.0,1.0,51.0,52.0,2.0,57.0,59.0,0.0,4.0,4.0,1.0,97.0,98.0,0.0,12.0,12.0,0.0,0.0,0.0,8.0,354.0,362.0,1.0,41.0,42.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,2.0,2.0,2.0,57.0,59.0
