county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
Fresno,18037.0,1491.0,21.0,9005.0,806.0,156.0,27042.0,2297.0,177.0,59742.0,22097.0,81839.0,5041.0,1748.0,2308.0,1036.0,7349.0,2784.0,55.0,218.0,273.0,656.0,29349.0,0.0,30005.0,6001258.0,547952.0,108838.0,26774.0,6549210.0,135612.0,6684822.0,2002,SEP,3.0,2002-09-01
Glenn,239.0,2.0,0.0,418.0,11.0,5.0,657.0,13.0,5.0,716.0,1107.0,1823.0,4.0,2.0,40.0,12.0,44.0,14.0,0.0,6.0,6.0,715.0,0.0,0.0,715.0,125622.0,2144.0,764.0,811.0,127766.0,1575.0,129341.0,2002,SEP,3.0,2002-09-01
Humboldt,1306.0,9.0,0.0,2486.0,14.0,7.0,3792.0,23.0,7.0,3528.0,4980.0,8508.0,36.0,10.0,43.0,14.0,79.0,24.0,0.0,7.0,7.0,122.0,3737.0,483.0,4342.0,734665.0,6821.0,2072.0,604.0,741486.0,2676.0,744162.0,2002,SEP,3.0,2002-09-01
Imperial,1500.0,349.0,2.0,2895.0,469.0,89.0,4395.0,818.0,91.0,4643.0,8314.0,12957.0,866.0,372.0,1195.0,524.0,2061.0,896.0,2.0,99.0,101.0,300.0,0.0,5584.0,5884.0,979640.0,160003.0,29458.0,11602.0,1139643.0,41060.0,1180703.0,2002,SEP,3.0,2002-09-01
Inyo,56.0,0.0,0.0,279.0,0.0,0.0,335.0,0.0,0.0,162.0,474.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0,369.0,52285.0,0.0,0.0,0.0,52285.0,0.0,52285.0,2002,SEP,3.0,2002-09-01
Kern,7306.0,193.0,1.0,10817.0,427.0,54.0,18123.0,620.0,55.0,22691.0,30645.0,53336.0,624.0,221.0,1203.0,521.0,1827.0,742.0,1.0,79.0,80.0,5268.0,17263.0,0.0,22531.0,4487927.0,156878.0,22770.0,9291.0,4644805.0,32061.0,4676866.0,2002,SEP,3.0,2002-09-01
Kings,1287.0,42.0,1.0,2428.0,70.0,21.0,3715.0,112.0,22.0,3919.0,6186.0,10105.0,131.0,49.0,238.0,76.0,369.0,125.0,1.0,21.0,22.0,71.0,4000.0,0.0,4071.0,727008.0,24779.0,4025.0,2705.0,751787.0,6730.0,758517.0,2002,SEP,3.0,2002-09-01
Lake,936.0,5.0,1.0,1173.0,9.0,6.0,2109.0,14.0,7.0,2572.0,2390.0,4962.0,19.0,7.0,24.0,10.0,43.0,17.0,6.0,6.0,12.0,691.0,0.0,2282.0,2973.0,516844.0,2945.0,705.0,792.0,519789.0,1497.0,521286.0,2002,SEP,3.0,2002-09-01
Lassen,251.0,2.0,0.0,338.0,0.0,0.0,589.0,2.0,0.0,711.0,788.0,1499.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,261.0,0.0,360.0,621.0,117932.0,383.0,163.0,0.0,118315.0,163.0,118478.0,2002,SEP,3.0,2002-09-01
Los Angeles,102124.0,14816.0,796.0,128342.0,17084.0,10069.0,230466.0,31900.0,10865.0,252561.0,269197.0,521758.0,33970.0,17090.0,49634.0,21633.0,83604.0,38723.0,2230.0,12359.0,14589.0,0.0,295106.0,0.0,295106.0,45575461.0,7027797.0,2052853.0,1699530.0,52603258.0,3752383.0,56355641.0,2002,SEP,3.0,2002-09-01
Madera,1393.0,7.0,0.0,2987.0,15.0,5.0,4380.0,22.0,5.0,4440.0,7845.0,12285.0,22.0,7.0,59.0,15.0,81.0,22.0,0.0,6.0,6.0,66.0,4619.0,0.0,4685.0,878354.0,3339.0,685.0,3269.0,881693.0,3954.0,885647.0,2002,SEP,3.0,2002-09-01
Marin,374.0,33.0,0.0,1079.0,38.0,34.0,1453.0,71.0,34.0,898.0,1591.0,2489.0,62.0,38.0,56.0,39.0,118.0,77.0,0.0,34.0,34.0,1842.0,0.0,0.0,1842.0,233706.0,8669.0,4084.0,4515.0,242375.0,8599.0,250974.0,2002,SEP,3.0,2002-09-01
Mariposa,98.0,0.0,0.0,195.0,0.0,0.0,293.0,0.0,0.0,269.0,419.0,688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,296.0,305.0,50857.0,0.0,0.0,0.0,50857.0,0.0,50857.0,2002,SEP,3.0,2002-09-01
Mendocino,797.0,4.0,0.0,1600.0,17.0,5.0,2397.0,21.0,5.0,2141.0,3363.0,5504.0,16.0,5.0,47.0,22.0,63.0,27.0,0.0,5.0,5.0,948.0,0.0,1611.0,2559.0,411525.0,3470.0,1523.0,615.0,414995.0,2138.0,417133.0,2002,SEP,3.0,2002-09-01
Merced,3276.0,262.0,3.0,3053.0,215.0,20.0,6329.0,477.0,23.0,10375.0,10402.0,20777.0,973.0,322.0,859.0,292.0,1832.0,614.0,3.0,22.0,25.0,4.0,6825.0,0.0,6829.0,1418774.0,82080.0,60905.0,3553.0,1500854.0,64458.0,1565312.0,2002,SEP,3.0,2002-09-01
Modoc,102.0,0.0,0.0,157.0,2.0,1.0,259.0,2.0,1.0,291.0,349.0,640.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,1.0,1.0,262.0,0.0,0.0,262.0,43388.0,248.0,190.0,135.0,43636.0,325.0,43961.0,2002,SEP,3.0,2002-09-01
Mono,28.0,0.0,0.0,84.0,0.0,0.0,112.0,0.0,0.0,96.0,141.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,16.0,118.0,20298.0,0.0,0.0,0.0,20298.0,0.0,20298.0,2002,SEP,3.0,2002-09-01
Monterey,2036.0,124.0,0.0,2860.0,128.0,20.0,4896.0,252.0,20.0,5950.0,7165.0,13115.0,310.0,134.0,409.0,139.0,719.0,273.0,0.0,20.0,20.0,5148.0,0.0,412.0,5560.0,901949.0,61054.0,9094.0,4518.0,963003.0,13612.0,976615.0,2002,SEP,3.0,2002-09-01
Napa,170.0,4.0,0.0,440.0,9.0,11.0,610.0,13.0,11.0,438.0,910.0,1348.0,8.0,4.0,19.0,11.0,27.0,15.0,0.0,18.0,18.0,799.0,0.0,0.0,799.0,128086.0,2519.0,590.0,1902.0,130605.0,2492.0,133097.0,2002,SEP,3.0,2002-09-01
Nevada,288.0,0.0,0.0,468.0,1.0,0.0,756.0,1.0,0.0,752.0,858.0,1610.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,709.0,0.0,132.0,841.0,128001.0,248.0,108.0,0.0,128249.0,108.0,128357.0,2002,SEP,3.0,2002-09-01
Orange,11319.0,1416.0,37.0,11151.0,1421.0,551.0,22470.0,2837.0,588.0,31083.0,28414.0,59497.0,3628.0,1685.0,3851.0,1832.0,7479.0,3517.0,96.0,782.0,878.0,1594.0,24433.0,635.0,26662.0,4147336.0,549224.0,131824.0,90397.0,4696560.0,222221.0,4918781.0,2002,SEP,3.0,2002-09-01
Placer,834.0,12.0,0.0,763.0,8.0,1.0,1597.0,20.0,1.0,2160.0,1556.0,3716.0,33.0,27.0,29.0,20.0,62.0,47.0,0.0,0.0,0.0,808.0,0.0,889.0,1697.0,285554.0,3895.0,1753.0,86.0,289449.0,1839.0,291288.0,2002,SEP,3.0,2002-09-01
