county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Inyo,63.0,0.0,0.0,237.0,0.0,0.0,300.0,0.0,0.0,183.0,403.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,360.0,51103.0,0.0,0.0,0.0,51103.0,0.0,51103.0,2002,JUL,300.0,3.0,2002-07-01
Kern,7342.0,199.0,2.0,10832.0,434.0,42.0,18174.0,633.0,44.0,22819.0,30361.0,53180.0,657.0,230.0,1253.0,513.0,1910.0,743.0,3.0,60.0,63.0,5476.0,17386.0,0.0,22862.0,4513982.0,154699.0,19926.0,6931.0,4668681.0,26857.0,4695538.0,2002,JUL,18851.0,3.0,2002-07-01
Kings,1358.0,43.0,1.0,2400.0,75.0,21.0,3758.0,118.0,22.0,4115.0,6285.0,10400.0,138.0,50.0,254.0,85.0,392.0,135.0,1.0,21.0,22.0,56.0,4102.0,0.0,4158.0,736414.0,26626.0,4466.0,2824.0,763040.0,7290.0,770330.0,2002,JUL,3898.0,3.0,2002-07-01
Lake,789.0,5.0,1.0,1058.0,10.0,6.0,1847.0,15.0,7.0,2170.0,2201.0,4371.0,19.0,7.0,23.0,11.0,42.0,18.0,6.0,6.0,12.0,481.0,0.0,1684.0,2165.0,370586.0,2589.0,1300.0,732.0,373175.0,2032.0,375207.0,2002,JUL,1869.0,3.0,2002-07-01
Lassen,259.0,2.0,0.0,352.0,1.0,0.0,611.0,3.0,0.0,741.0,790.0,1531.0,3.0,3.0,3.0,1.0,6.0,4.0,0.0,0.0,0.0,272.0,0.0,397.0,669.0,121695.0,327.0,161.0,0.0,122022.0,161.0,122183.0,2002,JUL,614.0,3.0,2002-07-01
Los Angeles,100652.0,15568.0,763.0,132288.0,19059.0,10142.0,232940.0,34627.0,10905.0,250625.0,280672.0,531297.0,35651.0,18051.0,55285.0,24093.0,90936.0,42144.0,2112.0,12396.0,14508.0,0.0,300731.0,0.0,300731.0,45712659.0,7443121.0,2207039.0,1691945.0,53155780.0,3898984.0,57054764.0,2002,JUL,278472.0,3.0,2002-07-01
Madera,1359.0,3.0,12.0,2992.0,6.0,20.0,4351.0,9.0,32.0,4373.0,7908.0,12281.0,19.0,3.0,59.0,6.0,78.0,9.0,12.0,20.0,32.0,87.0,4543.0,0.0,4630.0,895278.0,3303.0,724.0,3254.0,898581.0,3978.0,902559.0,2002,JUL,4392.0,3.0,2002-07-01
Marin,372.0,29.0,0.0,985.0,27.0,31.0,1357.0,56.0,31.0,908.0,1464.0,2372.0,55.0,31.0,43.0,40.0,98.0,71.0,0.0,34.0,34.0,1804.0,0.0,0.0,1804.0,229564.0,7518.0,2623.0,4235.0,237082.0,6858.0,243940.0,2002,JUL,1444.0,3.0,2002-07-01
Mariposa,89.0,0.0,0.0,191.0,0.0,0.0,280.0,0.0,0.0,254.0,411.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,288.0,295.0,48022.0,0.0,0.0,0.0,48022.0,0.0,48022.0,2002,JUL,280.0,3.0,2002-07-01
Mendocino,806.0,2.0,0.0,1687.0,16.0,6.0,2493.0,18.0,6.0,2163.0,3534.0,5697.0,6.0,3.0,46.0,18.0,52.0,21.0,0.0,7.0,7.0,991.0,0.0,1699.0,2690.0,421284.0,2694.0,1151.0,583.0,423978.0,1734.0,425712.0,2002,JUL,2517.0,3.0,2002-07-01
Merced,3618.0,318.0,1.0,3362.0,259.0,30.0,6980.0,577.0,31.0,11163.0,11440.0,22603.0,1210.0,393.0,1103.0,354.0,2313.0,747.0,1.0,34.0,35.0,4.0,7584.0,0.0,7588.0,1564620.0,130918.0,42281.0,4077.0,1695538.0,46358.0,1741896.0,2002,JUL,7588.0,3.0,2002-07-01
