county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
Mono,29.0,0.0,0.0,90.0,0.0,0.0,119.0,0.0,0.0,77.0,150.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,14.0,123.0,18705.0,0.0,0.0,0.0,18705.0,0.0,18705.0,2002,AUG,3.0,2002-08-01
Monterey,2015.0,169.0,1.0,2925.0,183.0,19.0,4940.0,352.0,20.0,5888.0,7394.0,13282.0,429.0,182.0,589.0,199.0,1018.0,381.0,1.0,20.0,21.0,5264.0,0.0,456.0,5720.0,907078.0,90280.0,12003.0,5155.0,997358.0,17158.0,1014516.0,2002,AUG,3.0,2002-08-01
Napa,145.0,6.0,0.0,536.0,8.0,13.0,681.0,14.0,13.0,390.0,1118.0,1508.0,15.0,6.0,20.0,10.0,35.0,16.0,0.0,20.0,20.0,928.0,0.0,0.0,928.0,140128.0,2582.0,508.0,2079.0,142710.0,2587.0,145297.0,2002,AUG,3.0,2002-08-01
Nevada,291.0,0.0,0.0,487.0,1.0,0.0,778.0,1.0,0.0,751.0,929.0,1680.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,722.0,0.0,142.0,864.0,132432.0,248.0,108.0,0.0,132680.0,108.0,132788.0,2002,AUG,3.0,2002-08-01
Orange,11274.0,1383.0,38.0,11356.0,1418.0,535.0,22630.0,2801.0,573.0,31058.0,29191.0,60249.0,3574.0,1655.0,3849.0,1816.0,7423.0,3471.0,97.0,748.0,845.0,1639.0,24439.0,677.0,26755.0,4186548.0,538004.0,126366.0,88127.0,4724552.0,214493.0,4939045.0,2002,AUG,3.0,2002-08-01
Placer,835.0,12.0,1.0,774.0,8.0,1.0,1609.0,20.0,2.0,2205.0,1520.0,3725.0,38.0,28.0,34.0,21.0,72.0,49.0,3.0,0.0,3.0,863.0,0.0,996.0,1859.0,305704.0,4462.0,1919.0,348.0,310166.0,2267.0,312433.0,2002,AUG,3.0,2002-08-01
Plumas,84.0,0.0,0.0,107.0,0.0,0.0,191.0,0.0,0.0,216.0,229.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,4.0,0.0,197.0,29636.0,0.0,0.0,0.0,29636.0,0.0,29636.0,2002,AUG,3.0,2002-08-01
Riverside,13132.0,553.0,6.0,6410.0,649.0,125.0,19542.0,1202.0,131.0,36965.0,15940.0,52905.0,1564.0,610.0,2002.0,757.0,3566.0,1367.0,25.0,314.0,339.0,854.0,22253.0,0.0,23107.0,4388176.0,283509.0,55062.0,30277.0,4671685.0,85339.0,4757024.0,2002,AUG,3.0,2002-08-01
Sacramento,20835.0,962.0,177.0,11647.0,265.0,263.0,32482.0,1227.0,440.0,71943.0,28358.0,100301.0,3357.0,1690.0,885.0,480.0,4242.0,2170.0,683.0,440.0,1123.0,5428.0,31885.0,0.0,37313.0,7328150.0,299076.0,101703.0,80918.0,7627226.0,182621.0,7809847.0,2002,AUG,3.0,2002-08-01
San Benito,259.0,13.0,0.0,435.0,16.0,8.0,694.0,29.0,8.0,794.0,1033.0,1827.0,27.0,13.0,42.0,16.0,69.0,29.0,0.0,8.0,8.0,828.0,0.0,0.0,828.0,132670.0,6091.0,897.0,1097.0,138761.0,1994.0,140755.0,2002,AUG,3.0,2002-08-01
