county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
San Diego,14943.0,306.0,17.0,12461.0,327.0,175.0,27404.0,633.0,192.0,40775.0,34041.0,74816.0,691.0,339.0,792.0,395.0,1483.0,734.0,48.0,266.0,314.0,30609.0,0.0,401.0,31010.0,5984241.0,127293.0,41710.0,35126.0,6111534.0,76836.0,6188370.0,2003,OCT,28229.0,4.0,2003-10-01
San Francisco,5044.0,123.0,35.0,13145.0,191.0,378.0,18189.0,314.0,413.0,13056.0,16427.0,29483.0,166.0,151.0,286.0,244.0,452.0,395.0,99.0,505.0,604.0,0.0,20420.0,0.0,20420.0,2650591.0,55062.0,18572.0,52594.0,2705653.0,71166.0,2776819.0,2003,OCT,18916.0,4.0,2003-10-01
San Joaquin,6635.0,3.0,2.0,9420.0,72.0,40.0,16055.0,75.0,42.0,19316.0,26095.0,45411.0,5.0,3.0,595.0,317.0,600.0,320.0,3.0,52.0,55.0,17490.0,0.0,0.0,17490.0,3806894.0,60248.0,1510.0,6400.0,3867142.0,7910.0,3875052.0,2003,OCT,16172.0,4.0,2003-10-01
San Luis Obispo,1136.0,10.0,0.0,1307.0,11.0,9.0,2443.0,21.0,9.0,2891.0,2732.0,5623.0,20.0,12.0,34.0,11.0,54.0,23.0,0.0,11.0,11.0,3042.0,0.0,0.0,3042.0,523359.0,7021.0,2366.0,1294.0,530380.0,3660.0,534040.0,2003,OCT,2473.0,4.0,2003-10-01
San Mateo,1415.0,9.0,1.0,1804.0,15.0,11.0,3219.0,24.0,12.0,3414.0,3794.0,7208.0,25.0,9.0,31.0,15.0,56.0,24.0,1.0,11.0,12.0,0.0,0.0,0.0,0.0,690437.0,312.0,8500.0,1738.0,690749.0,10238.0,700987.0,2003,OCT,3255.0,4.0,2003-10-01
Santa Barbara,3223.0,74.0,5.0,3080.0,81.0,34.0,6303.0,155.0,39.0,6702.0,7679.0,14381.0,137.0,74.0,239.0,117.0,376.0,191.0,9.0,54.0,63.0,7068.0,0.0,0.0,7068.0,1230166.0,33599.0,6309.0,7370.0,1263765.0,13679.0,1277444.0,2003,OCT,6497.0,4.0,2003-10-01
Santa Clara,9676.0,122.0,3.0,10044.0,238.0,218.0,19720.0,360.0,221.0,25656.0,22176.0,47832.0,243.0,131.0,480.0,297.0,723.0,428.0,5.0,286.0,291.0,20676.0,0.0,0.0,20676.0,4067442.0,70882.0,34470.0,36895.0,4138324.0,71365.0,4209689.0,2003,OCT,20301.0,4.0,2003-10-01
Santa Cruz,1341.0,27.0,0.0,2113.0,23.0,6.0,3454.0,50.0,6.0,3145.0,4376.0,7521.0,43.0,27.0,25.0,30.0,68.0,57.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,640948.0,10227.0,3805.0,954.0,651175.0,4759.0,655934.0,2003,OCT,3510.0,4.0,2003-10-01
Shasta,1637.0,18.0,0.0,2575.0,50.0,4.0,4212.0,68.0,4.0,4315.0,5784.0,10099.0,58.0,20.0,158.0,61.0,216.0,81.0,0.0,4.0,4.0,4903.0,0.0,428.0,5331.0,936941.0,18015.0,3814.0,736.0,954956.0,4550.0,959506.0,2003,OCT,4284.0,4.0,2003-10-01
Sierra,19.0,0.0,0.0,24.0,0.0,0.0,43.0,0.0,0.0,58.0,48.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,7663.0,0.0,0.0,0.0,7663.0,0.0,7663.0,2003,OCT,43.0,4.0,2003-10-01
Siskiyou,468.0,4.0,0.0,881.0,13.0,2.0,1349.0,17.0,2.0,1291.0,1927.0,3218.0,7.0,4.0,38.0,15.0,45.0,19.0,0.0,2.0,2.0,1159.0,0.0,288.0,1447.0,269833.0,3365.0,1313.0,282.0,273198.0,1595.0,274793.0,2003,OCT,1368.0,4.0,2003-10-01
Solano,3309.0,7.0,3.0,1933.0,6.0,19.0,5242.0,13.0,22.0,9477.0,3675.0,13152.0,21.0,8.0,23.0,7.0,44.0,15.0,11.0,23.0,34.0,0.0,0.0,5953.0,5953.0,1086573.0,4305.0,1001.0,4808.0,1090878.0,5809.0,1096687.0,2003,OCT,5277.0,4.0,2003-10-01
Sonoma,1707.0,2.0,0.0,2908.0,18.0,2.0,4615.0,20.0,2.0,3926.0,5802.0,9728.0,3.0,2.0,34.0,18.0,37.0,20.0,0.0,2.0,2.0,4713.0,0.0,575.0,5288.0,847117.0,0.0,0.0,1586.0,847117.0,1586.0,848703.0,2003,OCT,4637.0,4.0,2003-10-01
Stanislaus,5610.0,46.0,2.0,5872.0,100.0,30.0,11482.0,146.0,32.0,16167.0,16420.0,32587.0,106.0,53.0,308.0,141.0,414.0,194.0,5.0,49.0,54.0,0.0,0.0,12702.0,12702.0,2720528.0,35836.0,8530.0,5893.0,2756364.0,14423.0,2770787.0,2003,OCT,11660.0,4.0,2003-10-01
Sutter,501.0,4.0,0.0,1032.0,10.0,2.0,1533.0,14.0,2.0,1401.0,2797.0,4198.0,15.0,4.0,27.0,12.0,42.0,16.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,325576.0,3923.0,752.0,400.0,329499.0,1152.0,330651.0,2003,OCT,1549.0,4.0,2003-10-01
Tehama,676.0,2.0,1.0,1089.0,9.0,4.0,1765.0,11.0,5.0,1772.0,2800.0,4572.0,5.0,2.0,21.0,9.0,26.0,11.0,4.0,4.0,8.0,1781.0,0.0,0.0,1781.0,374626.0,1978.0,848.0,878.0,376604.0,1726.0,378330.0,2003,OCT,1781.0,4.0,2003-10-01
Trinity,105.0,0.0,0.0,194.0,0.0,0.0,299.0,0.0,0.0,291.0,456.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,79.0,299.0,63365.0,0.0,0.0,0.0,63365.0,0.0,63365.0,2003,OCT,299.0,4.0,2003-10-01
Tulare,10151.0,108.0,2.0,6216.0,165.0,40.0,16367.0,273.0,42.0,31532.0,14645.0,46177.0,126.0,124.0,329.0,249.0,455.0,373.0,2.0,161.0,163.0,18585.0,0.0,0.0,18585.0,3688591.0,63453.0,15059.0,6357.0,3752044.0,21416.0,3773460.0,2003,OCT,16682.0,4.0,2003-10-01
Tuolumne,354.0,0.0,0.0,550.0,0.0,2.0,904.0,0.0,2.0,991.0,1205.0,2196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,967.0,0.0,976.0,167421.0,0.0,0.0,259.0,167421.0,259.0,167680.0,2003,OCT,906.0,4.0,2003-10-01
Ventura,3832.0,23.0,5.0,4998.0,81.0,30.0,8830.0,104.0,35.0,10530.0,12233.0,22763.0,58.0,26.0,215.0,96.0,273.0,122.0,18.0,35.0,53.0,9630.0,0.0,0.0,9630.0,1841570.0,0.0,0.0,11247.0,1841570.0,11247.0,1852817.0,2003,OCT,8969.0,4.0,2003-10-01
Yolo,1817.0,38.0,3.0,1158.0,20.0,19.0,2975.0,58.0,22.0,5293.0,2348.0,7641.0,44.0,58.0,39.0,25.0,83.0,83.0,6.0,45.0,51.0,0.0,0.0,3055.0,3055.0,639149.0,15788.0,4205.0,4768.0,654937.0,8973.0,663910.0,2003,OCT,3055.0,4.0,2003-10-01
Yuba,1053.0,32.0,0.0,1343.0,48.0,7.0,2396.0,80.0,7.0,3186.0,3519.0,6705.0,173.0,38.0,242.0,67.0,415.0,105.0,0.0,7.0,7.0,2415.0,0.0,566.0,2981.0,541471.0,28587.0,7990.0,1259.0,570058.0,9249.0,579307.0,2003,OCT,2483.0,4.0,2003-10-01
