county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
Imperial,1514.0,365.0,3.0,2856.0,575.0,98.0,4370.0,940.0,101.0,4645.0,8112.0,12757.0,928.0,391.0,1516.0,669.0,2444.0,1060.0,3.0,110.0,113.0,299.0,0.0,5653.0,5952.0,973104.0,187310.0,39068.0,12310.0,1160414.0,51378.0,1211792.0,2003,JAN,5411.0,0,1.0,2003-01-01
Solano,2905.0,87.0,3.0,1713.0,25.0,45.0,4618.0,112.0,48.0,8274.0,3156.0,11430.0,214.0,100.0,54.0,31.0,268.0,131.0,8.0,54.0,62.0,0.0,0.0,5388.0,5388.0,924671.0,27481.0,4467.0,6587.0,952152.0,11054.0,963206.0,2003,JAN,4778.0,0,1.0,2003-01-01
Madera,1429.0,10.0,0.0,3256.0,14.0,4.0,4685.0,24.0,4.0,4566.0,8304.0,12870.0,31.0,10.0,51.0,14.0,82.0,24.0,0.0,4.0,4.0,73.0,4975.0,0.0,5048.0,1056454.0,4112.0,990.0,3193.0,1060566.0,4183.0,1064749.0,2003,JAN,4713.0,0,1.0,2003-01-01
Sonoma,1751.0,18.0,1.0,2429.0,121.0,24.0,4180.0,139.0,25.0,4018.0,4601.0,8619.0,43.0,19.0,319.0,147.0,362.0,166.0,3.0,37.0,40.0,4003.0,0.0,723.0,4726.0,703326.0,33199.0,7806.0,3888.0,736525.0,11694.0,748219.0,2003,JAN,4344.0,0,1.0,2003-01-01
Shasta,1749.0,36.0,0.0,2480.0,43.0,5.0,4229.0,79.0,5.0,4760.0,5553.0,10313.0,123.0,47.0,118.0,50.0,241.0,97.0,0.0,5.0,5.0,5027.0,0.0,366.0,5393.0,885197.0,21880.0,4538.0,784.0,907077.0,5322.0,912399.0,2003,JAN,4313.0,0,1.0,2003-01-01
Kings,1304.0,35.0,2.0,2555.0,73.0,23.0,3859.0,108.0,25.0,3923.0,6615.0,10538.0,116.0,42.0,236.0,80.0,352.0,122.0,2.0,23.0,25.0,65.0,4225.0,0.0,4290.0,824490.0,26921.0,4736.0,3116.0,851411.0,7852.0,859263.0,2003,JAN,3992.0,0,1.0,2003-01-01
Humboldt,1291.0,13.0,0.0,2575.0,9.0,8.0,3866.0,22.0,8.0,3483.0,5122.0,8605.0,39.0,14.0,32.0,9.0,71.0,23.0,0.0,9.0,9.0,120.0,3720.0,487.0,4327.0,777892.0,6418.0,2079.0,814.0,784310.0,2893.0,787203.0,2003,JAN,3896.0,0,1.0,2003-01-01
Santa Cruz,1185.0,61.0,1.0,1707.0,60.0,11.0,2892.0,121.0,12.0,2810.0,3481.0,6291.0,140.0,64.0,105.0,66.0,245.0,130.0,2.0,12.0,14.0,0.0,0.0,0.0,0.0,694714.0,27464.0,7898.0,1624.0,722178.0,9522.0,731700.0,2003,JAN,3025.0,0,1.0,2003-01-01
Yolo,1719.0,113.0,18.0,1106.0,26.0,22.0,2825.0,139.0,40.0,4928.0,2254.0,7182.0,309.0,220.0,62.0,33.0,371.0,253.0,54.0,51.0,105.0,0.0,0.0,3004.0,3004.0,599371.0,25143.0,19464.0,8829.0,624514.0,28293.0,652807.0,2003,JAN,3004.0,0,1.0,2003-01-01
San Mateo,1203.0,37.0,2.0,1466.0,58.0,33.0,2669.0,95.0,35.0,2921.0,3022.0,5943.0,84.0,45.0,117.0,63.0,201.0,108.0,5.0,57.0,62.0,8.0,3064.0,0.0,3072.0,507454.0,20130.0,6300.0,5610.0,527584.0,11910.0,539494.0,2003,JAN,2799.0,0,1.0,2003-01-01
San Luis Obispo,1110.0,8.0,0.0,1470.0,27.0,10.0,2580.0,35.0,10.0,2735.0,3290.0,6025.0,15.0,12.0,47.0,35.0,62.0,47.0,0.0,14.0,14.0,2775.0,0.0,164.0,2939.0,487875.0,7726.0,2694.0,1456.0,495601.0,4150.0,499751.0,2003,JAN,2625.0,0,1.0,2003-01-01
Mendocino,804.0,5.0,0.0,1725.0,23.0,7.0,2529.0,28.0,7.0,2208.0,3558.0,5766.0,12.0,6.0,51.0,25.0,63.0,31.0,0.0,9.0,9.0,956.0,0.0,1810.0,2766.0,465716.0,4713.0,2434.0,1021.0,470429.0,3455.0,473884.0,2003,JAN,2564.0,0,1.0,2003-01-01
Yuba,1157.0,51.0,0.0,1242.0,19.0,9.0,2399.0,70.0,9.0,3748.0,3088.0,6836.0,306.0,57.0,88.0,28.0,394.0,85.0,0.0,9.0,9.0,2184.0,0.0,591.0,2775.0,546539.0,25839.0,5598.0,1327.0,572378.0,6925.0,579303.0,2003,JAN,2478.0,0,1.0,2003-01-01
Lake,863.0,2.0,1.0,1249.0,5.0,3.0,2112.0,7.0,4.0,2369.0,2612.0,4981.0,4.0,3.0,13.0,7.0,17.0,10.0,6.0,6.0,12.0,499.0,0.0,1975.0,2474.0,451692.0,1912.0,549.0,521.0,453604.0,1070.0,454674.0,2003,JAN,2123.0,0,1.0,2003-01-01
Tehama,739.0,22.0,1.0,1195.0,41.0,11.0,1934.0,63.0,12.0,1746.0,2557.0,4303.0,67.0,24.0,127.0,45.0,194.0,69.0,1.0,14.0,15.0,2008.0,0.0,0.0,2008.0,344148.0,13007.0,4570.0,1666.0,357155.0,6236.0,363391.0,2003,JAN,2009.0,0,1.0,2003-01-01
Placer,844.0,11.0,0.0,845.0,8.0,1.0,1689.0,19.0,1.0,2187.0,1732.0,3919.0,25.0,23.0,28.0,18.0,53.0,41.0,0.0,1.0,1.0,812.0,0.0,1184.0,1996.0,353150.0,4487.0,1460.0,147.0,357637.0,1607.0,359244.0,2003,JAN,1709.0,0,1.0,2003-01-01
