county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
Fresno,20248.0,7605.0,4125.0,1439.0,1006.0,6073.0,7.3,22002.0,19158.0,2844.0,2419.0,1471.0,559.0,389.0,58.7,0.3245,0.2037,0.1195,0.0726,2012,DEC,0.0400445378799,0.0638253433201,4.0,2012-12-01
Glenn,499.0,308.0,10.0,27.0,25.0,129.0,17.0,158.0,91.0,67.0,63.0,63.0,0.0,0.0,36.3,0.1242,0.02,0.1263,0.1263,2012,DEC,0.000986873982719,0.000458340343813,4.0,2012-12-01
Humboldt,3014.0,1835.0,134.0,171.0,145.0,729.0,12.7,886.0,460.0,426.0,387.0,375.0,7.0,5.0,40.0,0.1493,0.0445,0.1284,0.1244,2012,DEC,0.00596079796376,0.00257018699126,4.0,2012-12-01
Imperial,3305.0,1847.0,128.0,141.0,147.0,1042.0,15.0,1769.0,1322.0,447.0,384.0,365.0,13.0,6.0,30.3,0.1259,0.0387,0.1162,0.1104,2012,DEC,0.00653630964506,0.00513167131776,4.0,2012-12-01
Inyo,330.0,182.0,11.0,19.0,22.0,96.0,8.7,111.0,81.0,30.0,26.0,24.0,2.0,0.0,37.7,0.1576,0.0333,0.0788,0.0727,2012,DEC,0.00065264211282,0.00032199859597,4.0,2012-12-01
Kern,17479.0,7954.0,1028.0,1154.0,1233.0,6110.0,14.0,7658.0,5334.0,2324.0,1945.0,1781.0,117.0,47.0,28.7,0.1954,0.0588,0.1113,0.1019,2012,DEC,0.0345682772424,0.0222150022337,4.0,2012-12-01
Kings,2721.0,1273.0,146.0,171.0,150.0,981.0,14.7,1323.0,978.0,345.0,296.0,277.0,15.0,4.0,34.0,0.1716,0.0537,0.1088,0.1018,2012,DEC,0.00538133087571,0.00383787515737,4.0,2012-12-01
Lake,1393.0,934.0,26.0,52.0,45.0,336.0,20.3,677.0,314.0,363.0,354.0,338.0,13.0,3.0,46.3,0.0883,0.0187,0.2541,0.2426,2012,DEC,0.00275494079745,0.00196390134659,4.0,2012-12-01
Lassen,522.0,218.0,74.0,33.0,57.0,140.0,12.0,173.0,68.0,105.0,99.0,95.0,4.0,0.0,45.3,0.3142,0.1418,0.1897,0.182,2012,DEC,0.00103236116028,0.000501853667593,4.0,2012-12-01
Los Angeles,134653.0,73373.0,15196.0,7297.0,4577.0,34210.0,13.7,112391.0,86473.0,25918.0,2623.0,908.0,998.0,717.0,36.0,0.201,0.1129,0.0195,0.67,2012,DEC,0.266303692174,0.326033731529,4.0,2012-12-01
Madera,3178.0,1427.0,250.0,219.0,227.0,1055.0,21.3,1723.0,1173.0,550.0,482.0,436.0,38.0,8.0,33.7,0.219,0.0787,0.1517,0.1372,2012,DEC,0.00628514131679,0.00499823045817,4.0,2012-12-01
Marin,1746.0,1009.0,120.0,62.0,61.0,494.0,15.0,546.0,434.0,112.0,95.0,88.0,6.0,1.0,36.0,0.1392,0.0687,0.0544,0.0504,2012,DEC,0.00345307008783,0.00158388498558,4.0,2012-12-01
Mariposa,242.0,152.0,6.0,9.0,12.0,63.0,17.0,115.0,81.0,34.0,33.0,32.0,1.0,0.0,38.7,0.1116,0.0248,0.1364,0.1322,2012,DEC,0.000478604216068,0.000333602148978,4.0,2012-12-01
