county,consortium,year,pri_est_frequency,calfresh_persons_cy_avg,calfresh_eligibles,five_yr_est_range,pri_us_census_est_pct,month,quarter,fulldate
Butte,C-IV,2014,Annual Est.,30891.1666667,54488.4573357,n/a,0.566930468895,DEC,4.0,2014-12-01
Calaveras,C-IV,2014,5-yr. Est.,5204.5,6481.84314,2010-2014,0.802935197225,DEC,4.0,2014-12-01
Colusa,C-IV,2014,5-yr. Est.,1694.5,4329.11113346,2010-2014,0.391419842957,DEC,4.0,2014-12-01
Contra Costa,CalWIN,2014,Annual Est.,73883.5,129295.012429,n/a,0.571433488517,DEC,4.0,2014-12-01
Del Norte,C-IV,2014,5-yr. Est.,5196.16666667,5678.39890865,2010-2014,0.915076018832,DEC,4.0,2014-12-01
El Dorado,C-IV,2014,Annual Est.,12445.5833333,27235.3906697,n/a,0.456963642793,DEC,4.0,2014-12-01
Fresno,CalWIN,2014,Annual Est.,226953.166667,281485.643863,n/a,0.806269064213,DEC,4.0,2014-12-01
Glenn,C-IV,2014,5-yr. Est.,3655.91666667,6547.32147544,2010-2014,0.558383558892,DEC,4.0,2014-12-01
Humboldt,C-IV,2014,Annual Est.,18791.3333333,33221.6973898,n/a,0.565634353743,DEC,4.0,2014-12-01
Imperial,C-IV,2014,Annual Est.,40122.8333333,44825.9023043,n/a,0.895081443335,DEC,4.0,2014-12-01
Inyo,C-IV,2014,5-yr. Est.,2138.0,2967.70218,2010-2014,0.720422694167,DEC,4.0,2014-12-01
Kern,C-IV,2014,Annual Est.,147974.166667,225536.447523,n/a,0.65609868512,DEC,4.0,2014-12-01
Kings,C-IV,2014,Annual Est.,23966.3333333,38859.0351458,n/a,0.61675060236,DEC,4.0,2014-12-01
Lake,C-IV,2014,Annual Est.,11014.5,17435.21142,n/a,0.63176750397,DEC,4.0,2014-12-01
Lassen,C-IV,2014,5-yr. Est.,3188.66666667,4056.23815027,2010-2014,0.786114263645,DEC,4.0,2014-12-01
Los Angeles,LRS,2014,Annual Est.,1185610.16667,2032449.54471,n/a,0.58334051625,DEC,4.0,2014-12-01
Madera,C-IV,2014,Annual Est.,28835.0833333,38902.7225579,n/a,0.741209906078,DEC,4.0,2014-12-01
Marin,C-IV,2014,Annual Est.,10307.6666667,22695.6318747,n/a,0.454169627158,DEC,4.0,2014-12-01
Mariposa,C-IV,2014,5-yr. Est.,2016.75,3171.7656,2010-2014,0.635844590786,DEC,4.0,2014-12-01
Mendocino,C-IV,2014,Annual Est.,13782.75,19834.10262,n/a,0.694914222441,DEC,4.0,2014-12-01
Merced,C-IV,2014,Annual Est.,57188.0833333,74498.9488995,n/a,0.767636110014,DEC,4.0,2014-12-01
Modoc,C-IV,2014,5-yr. Est.,1005.08333333,2247.36784703,2010-2014,0.447226890188,DEC,4.0,2014-12-01
Mono,C-IV,2014,5-yr. Est.,856.0,1714.07704,2010-2014,0.499394122915,DEC,4.0,2014-12-01
Monterey,C-IV,2014,Annual Est.,50079.4166667,76819.0947,n/a,0.65190822927,DEC,4.0,2014-12-01
Napa,C-IV,2014,Annual Est.,7300.75,13996.5831756,n/a,0.521609446277,DEC,4.0,2014-12-01
Nevada,C-IV,2014,Annual Est.,7722.66666667,12648.7451,n/a,0.610574403938,DEC,4.0,2014-12-01
Orange,CalWIN,2014,Annual Est.,258603.0,443857.489635,n/a,0.582626194306,DEC,4.0,2014-12-01
Placer,CalWIN,2014,Annual Est.,18534.8333333,41238.667037,n/a,0.449452774909,DEC,4.0,2014-12-01
Plumas,C-IV,2014,5-yr. Est.,1895.33333333,3602.33313676,2010-2014,0.526140493225,DEC,4.0,2014-12-01
Riverside,C-IV,2014,Annual Est.,290271.916667,455320.184137,n/a,0.637511638578,DEC,4.0,2014-12-01
Sacramento,CalWIN,2014,Annual Est.,217509.333333,295178.394858,n/a,0.736874165326,DEC,4.0,2014-12-01
San Benito,C-IV,2014,5-yr. Est.,6198.16666667,8761.70829708,2010-2014,0.707415318624,DEC,4.0,2014-12-01
San Bernardino,C-IV,2014,Annual Est.,391793.833333,458342.861038,n/a,0.854805139642,DEC,4.0,2014-12-01
San Diego,CalWIN,2014,Annual Est.,283887.083333,548765.953056,n/a,0.517319053327,DEC,4.0,2014-12-01
San Francisco,CalWIN,2014,Annual Est.,52291.8333333,100797.79189,n/a,0.518779552139,DEC,4.0,2014-12-01
San Joaquin,C-IV,2014,Annual Est.,117660.583333,155948.402083,n/a,0.754484058584,DEC,4.0,2014-12-01
San Luis Obispo,CalWIN,2014,Annual Est.,18107.1666667,45982.3013383,n/a,0.393785568353,DEC,4.0,2014-12-01
San Mateo,CalWIN,2014,Annual Est.,32223.75,63838.6442794,n/a,0.504768708104,DEC,4.0,2014-12-01
Santa Barbara,CalWIN,2014,Annual Est.,35297.0833333,83642.140157,n/a,0.422001197806,DEC,4.0,2014-12-01
Santa Clara,CalWIN,2014,Annual Est.,113253.5,173716.07033,n/a,0.651946016191,DEC,4.0,2014-12-01
Santa Cruz,CalWIN,2014,Annual Est.,24074.8333333,47670.4120893,n/a,0.505026750937,DEC,4.0,2014-12-01
Shasta,C-IV,2014,Annual Est.,24531.75,29544.1326943,n/a,0.830342533791,DEC,4.0,2014-12-01
Sierra,C-IV,2014,5-yr. Est.,300.5,535.083802726,2010-2014,0.561594274522,DEC,4.0,2014-12-01
Siskiyou,C-IV,2014,5-yr. Est.,6946.75,11466.6072816,2010-2014,0.605824358451,DEC,4.0,2014-12-01
Solano,CalWIN,2014,Annual Est.,43408.5,56428.9427127,n/a,0.769259495451,DEC,4.0,2014-12-01
Sonoma,CalWIN,2014,Annual Est.,35227.0,69970.7608838,n/a,0.503453150359,DEC,4.0,2014-12-01
Stanislaus,C-IV,2014,Annual Est.,92205.4166667,115984.89329,n/a,0.794977811773,DEC,4.0,2014-12-01
Sutter,C-IV,2014,Annual Est.,12977.9166667,16038.08874,n/a,0.809198665152,DEC,4.0,2014-12-01
Tehama,C-IV,2014,5-yr. Est.,10781.1666667,14124.951782,2010-2014,0.763271042131,DEC,4.0,2014-12-01
Trinity,C-IV,2014,5-yr. Est.,1787.41666667,3023.15468062,2010-2014,0.591242214011,DEC,4.0,2014-12-01
Tulare,CalWIN,2014,Annual Est.,126110.083333,139566.347383,n/a,0.903585181515,DEC,4.0,2014-12-01
Tuolumne,C-IV,2014,5-yr. Est.,5502.25,9986.62194,2010-2014,0.550962080377,DEC,4.0,2014-12-01
Ventura,CalWIN,2014,Annual Est.,74195.1666667,114149.93463,n/a,0.649979931285,DEC,4.0,2014-12-01
Yolo,CalWIN,2014,Annual Est.,18623.9166667,50238.2450607,n/a,0.37071192762,DEC,4.0,2014-12-01
Yuba,C-IV,2014,Annual Est.,13313.25,17375.6149,n/a,0.766,DEC,4.0,2014-12-01
California,n/a,2015,Annual Est.,4469489.33333,6409430.17984,n/a,0.697330164241,DEC,4.0,2015-12-01
Alameda,CalWIN,2015,Annual Est.,120817.083333,189599.382475,n/a,0.637222979086,DEC,4.0,2015-12-01
Alpine,C-IV,2015,5-yr. Est.,167.666666667,251.762353684,2011-2015,0.665971954159,DEC,4.0,2015-12-01
Amador,C-IV,2015,5-yr. Est.,3396.58333333,4641.21526994,2011-2015,0.731830595175,DEC,4.0,2015-12-01
Butte,C-IV,2015,Annual Est.,31978.1666667,53294.935691,n/a,0.600022614758,DEC,4.0,2015-12-01
Calaveras,C-IV,2015,5-yr. Est.,5433.0,6513.43816614,2011-2015,0.834121682193,DEC,4.0,2015-12-01
Colusa,C-IV,2015,5-yr. Est.,1548.0,3891.27939813,2011-2015,0.397812606502,DEC,4.0,2015-12-01
Contra Costa,CalWIN,2015,Annual Est.,71780.4166667,129091.915114,n/a,0.556041147914,DEC,4.0,2015-12-01
Del Norte,C-IV,2015,5-yr. Est.,5193.5,5724.01490251,2011-2015,0.907317693692,DEC,4.0,2015-12-01
El Dorado,C-IV,2015,Annual Est.,13136.75,20083.8388832,n/a,0.654095567904,DEC,4.0,2015-12-01
Fresno,CalWIN,2015,Annual Est.,228248.583333,261386.451468,n/a,0.873222701679,DEC,4.0,2015-12-01
Glenn,C-IV,2015,5-yr. Est.,3606.83333333,6488.52258116,2011-2015,0.555878982961,DEC,4.0,2015-12-01
Humboldt,C-IV,2015,Annual Est.,20982.6666667,31850.8618046,n/a,0.658778616271,DEC,4.0,2015-12-01
Imperial,C-IV,2015,Annual Est.,43185.0,47595.4528319,n/a,0.90733457569,DEC,4.0,2015-12-01
Inyo,C-IV,2015,5-yr. Est.,2081.16666667,2591.64347298,2011-2015,0.803029694618,DEC,4.0,2015-12-01
Kern,C-IV,2015,Annual Est.,158932.0,207468.110462,n/a,0.766055080205,DEC,4.0,2015-12-01
Kings,C-IV,2015,Annual Est.,24667.5,35958.1123693,n/a,0.686006533009,DEC,4.0,2015-12-01
Lake,C-IV,2015,Annual Est.,12322.8333333,14762.3246435,n/a,0.834748837388,DEC,4.0,2015-12-01
Lassen,C-IV,2015,5-yr. Est.,3188.91666667,3734.38445912,2011-2015,0.853933680792,DEC,4.0,2015-12-01
Los Angeles,LRS,2015,Annual Est.,1177606.25,1776819.9017,n/a,0.662760614551,DEC,4.0,2015-12-01
Madera,C-IV,2015,Annual Est.,29757.5,32412.6699815,n/a,0.918082343015,DEC,4.0,2015-12-01
Marin,C-IV,2015,Annual Est.,10586.0,23708.4569124,n/a,0.446507338674,DEC,4.0,2015-12-01
Mariposa,C-IV,2015,5-yr. Est.,2104.5,3054.69051512,2011-2015,0.688940496455,DEC,4.0,2015-12-01
Mendocino,C-IV,2015,Annual Est.,13191.75,19173.6480779,n/a,0.688014609762,DEC,4.0,2015-12-01
Merced,C-IV,2015,Annual Est.,58408.25,79373.2248558,n/a,0.735868425481,DEC,4.0,2015-12-01
Modoc,C-IV,2015,5-yr. Est.,1000.0,2017.08681616,2011-2015,0.495764481722,DEC,4.0,2015-12-01
Mono,C-IV,2015,5-yr. Est.,832.0,1202.93534982,2011-2015,0.69164149189,DEC,4.0,2015-12-01
Monterey,C-IV,2015,Annual Est.,51644.8333333,67987.3326427,n/a,0.759624349506,DEC,4.0,2015-12-01
Napa,C-IV,2015,Annual Est.,7501.5,19657.1565494,n/a,0.381616739998,DEC,4.0,2015-12-01
Nevada,C-IV,2015,Annual Est.,7736.58333333,18076.1028522,n/a,0.428000625831,DEC,4.0,2015-12-01
Orange,CalWIN,2015,Annual Est.,256994.916667,420793.169967,n/a,0.610739277652,DEC,4.0,2015-12-01
Placer,CalWIN,2015,Annual Est.,18227.4166667,38477.5160816,n/a,0.473716043105,DEC,4.0,2015-12-01
Plumas,C-IV,2015,5-yr. Est.,2050.25,3447.572362,2011-2015,0.594693826472,DEC,4.0,2015-12-01
Riverside,C-IV,2015,Annual Est.,294433.166667,423742.190648,n/a,0.694840337273,DEC,4.0,2015-12-01
Sacramento,CalWIN,2015,Annual Est.,219942.75,264162.852694,n/a,0.832602872648,DEC,4.0,2015-12-01
San Benito,C-IV,2015,5-yr. Est.,6089.33333333,7772.21144198,2011-2015,0.783474996633,DEC,4.0,2015-12-01
San Bernardino,C-IV,2015,Annual Est.,401294.333333,433056.803175,n/a,0.926655187936,DEC,4.0,2015-12-01
San Diego,CalWIN,2015,Annual Est.,291172.5,508224.43483,n/a,0.572921095574,DEC,4.0,2015-12-01
San Francisco,CalWIN,2015,Annual Est.,52042.25,102650.873581,n/a,0.506983021033,DEC,4.0,2015-12-01
San Joaquin,C-IV,2015,Annual Est.,121333.583333,131235.169862,n/a,0.924550815616,DEC,4.0,2015-12-01
San Luis Obispo,CalWIN,2015,Annual Est.,18597.8333333,45501.5276271,n/a,0.408729866956,DEC,4.0,2015-12-01
San Mateo,CalWIN,2015,Annual Est.,31802.5833333,71863.8390266,n/a,0.442539443538,DEC,4.0,2015-12-01
Santa Barbara,CalWIN,2015,Annual Est.,37310.0833333,73516.8546892,n/a,0.507503802918,DEC,4.0,2015-12-01
Santa Clara,CalWIN,2015,Annual Est.,110775.166667,160882.030417,n/a,0.688549034219,DEC,4.0,2015-12-01
Santa Cruz,CalWIN,2015,Annual Est.,26006.4166667,44874.5165104,n/a,0.579536420424,DEC,4.0,2015-12-01
Shasta,C-IV,2015,Annual Est.,25061.8333333,36163.9170925,n/a,0.693006602941,DEC,4.0,2015-12-01
Sierra,C-IV,2015,5-yr. Est.,312.5,517.509346044,2011-2015,0.603853828706,DEC,4.0,2015-12-01
Siskiyou,C-IV,2015,5-yr. Est.,7053.08333333,11426.9597505,2011-2015,0.617231834829,DEC,4.0,2015-12-01
Solano,CalWIN,2015,Annual Est.,43943.4166667,65104.9913938,n/a,0.674962329706,DEC,4.0,2015-12-01
Sonoma,CalWIN,2015,Annual Est.,35963.6666667,58010.0909808,n/a,0.619955357053,DEC,4.0,2015-12-01
Stanislaus,C-IV,2015,Annual Est.,92177.9166667,105439.647077,n/a,0.874224442342,DEC,4.0,2015-12-01
Sutter,C-IV,2015,Annual Est.,13172.4166667,22251.1858904,n/a,0.591987174596,DEC,4.0,2015-12-01
Tehama,C-IV,2015,5-yr. Est.,10420.5833333,14981.7999138,2011-2015,0.695549492937,DEC,4.0,2015-12-01
Trinity,C-IV,2015,5-yr. Est.,1832.25,3244.67501677,2011-2015,0.564694458006,DEC,4.0,2015-12-01
Tulare,CalWIN,2015,Annual Est.,124775.916667,136612.711474,n/a,0.913355099394,DEC,4.0,2015-12-01
Tuolumne,C-IV,2015,5-yr. Est.,5586.16666667,9026.37502283,2011-2015,0.618871546168,DEC,4.0,2015-12-01
Ventura,CalWIN,2015,Annual Est.,75753.3333333,91148.7715603,n/a,0.831095494065,DEC,4.0,2015-12-01
Yolo,CalWIN,2015,Annual Est.,20737.0833333,40868.0969332,n/a,0.507414949299,DEC,4.0,2015-12-01
Yuba,C-IV,2015,Annual Est.,13590.75,18760.6912254,n/a,0.724426932713,DEC,4.0,2015-12-01
California,n/a,2016,Annual Est.,4468335.91667,,n/a,,DEC,4.0,2016-12-01
Alameda,CalWIN,2016,Annual Est.,120529.083333,,n/a,,DEC,4.0,2016-12-01
Alpine,C-IV,2016,5-yr. Est.,166.583333333,,2012-2016,,DEC,4.0,2016-12-01
Amador,C-IV,2016,5-yr. Est.,3405.41666667,,2012-2016,,DEC,4.0,2016-12-01
Butte,C-IV,2016,Annual Est.,32050.5,,n/a,,DEC,4.0,2016-12-01
Calaveras,C-IV,2016,5-yr. Est.,5418.41666667,,2012-2016,,DEC,4.0,2016-12-01
Colusa,C-IV,2016,5-yr. Est.,1522.83333333,,2012-2016,,DEC,4.0,2016-12-01
Contra Costa,CalWIN,2016,Annual Est.,71653.8333333,,n/a,,DEC,4.0,2016-12-01
Del Norte,C-IV,2016,5-yr. Est.,5212.25,,2012-2016,,DEC,4.0,2016-12-01
El Dorado,C-IV,2016,Annual Est.,13129.4166667,,n/a,,DEC,4.0,2016-12-01
Fresno,CalWIN,2016,Annual Est.,228167.25,,n/a,,DEC,4.0,2016-12-01
Glenn,C-IV,2016,5-yr. Est.,3598.25,,2012-2016,,DEC,4.0,2016-12-01
Humboldt,C-IV,2016,Annual Est.,21059.0833333,,n/a,,DEC,4.0,2016-12-01
Imperial,C-IV,2016,Annual Est.,43300.3333333,,n/a,,DEC,4.0,2016-12-01
Inyo,C-IV,2016,5-yr. Est.,2084.5,,2012-2016,,DEC,4.0,2016-12-01
Kern,C-IV,2016,Annual Est.,160067.166667,,n/a,,DEC,4.0,2016-12-01
Kings,C-IV,2016,Annual Est.,24757.6666667,,n/a,,DEC,4.0,2016-12-01
Lake,C-IV,2016,Annual Est.,12405.25,,n/a,,DEC,4.0,2016-12-01
Lassen,C-IV,2016,5-yr. Est.,3187.41666667,,2012-2016,,DEC,4.0,2016-12-01
Los Angeles,LRS,2016,Annual Est.,1174514.75,,n/a,,DEC,4.0,2016-12-01
Madera,C-IV,2016,Annual Est.,29828.6666667,,n/a,,DEC,4.0,2016-12-01
Marin,C-IV,2016,Annual Est.,10587.4166667,,n/a,,DEC,4.0,2016-12-01
Mariposa,C-IV,2016,5-yr. Est.,2109.91666667,,2012-2016,,DEC,4.0,2016-12-01
Mendocino,C-IV,2016,Annual Est.,13185.1666667,,n/a,,DEC,4.0,2016-12-01
Merced,C-IV,2016,Annual Est.,58432.0833333,,n/a,,DEC,4.0,2016-12-01
Modoc,C-IV,2016,5-yr. Est.,1003.16666667,,2012-2016,,DEC,4.0,2016-12-01
Mono,C-IV,2016,5-yr. Est.,827.666666667,,2012-2016,,DEC,4.0,2016-12-01
Monterey,C-IV,2016,Annual Est.,51805.4166667,,n/a,,DEC,4.0,2016-12-01
Napa,C-IV,2016,Annual Est.,7510.83333333,,n/a,,DEC,4.0,2016-12-01
Nevada,C-IV,2016,Annual Est.,7735.66666667,,n/a,,DEC,4.0,2016-12-01
Orange,CalWIN,2016,Annual Est.,257314.666667,,n/a,,DEC,4.0,2016-12-01
Placer,CalWIN,2016,Annual Est.,18190.9166667,,n/a,,DEC,4.0,2016-12-01
Plumas,C-IV,2016,5-yr. Est.,2065.08333333,,2012-2016,,DEC,4.0,2016-12-01
Riverside,C-IV,2016,Annual Est.,294473.166667,,n/a,,DEC,4.0,2016-12-01
Sacramento,CalWIN,2016,Annual Est.,219847.5,,n/a,,DEC,4.0,2016-12-01
San Benito,C-IV,2016,5-yr. Est.,6070.5,,2012-2016,,DEC,4.0,2016-12-01
San Bernardino,C-IV,2016,Annual Est.,401154.333333,,n/a,,DEC,4.0,2016-12-01
San Diego,CalWIN,2016,Annual Est.,291479.916667,,n/a,,DEC,4.0,2016-12-01
San Francisco,CalWIN,2016,Annual Est.,52182.6666667,,n/a,,DEC,4.0,2016-12-01
San Joaquin,C-IV,2016,Annual Est.,121270.833333,,n/a,,DEC,4.0,2016-12-01
San Luis Obispo,CalWIN,2016,Annual Est.,18622.4166667,,n/a,,DEC,4.0,2016-12-01
San Mateo,CalWIN,2016,Annual Est.,31718.6666667,,n/a,,DEC,4.0,2016-12-01
Santa Barbara,CalWIN,2016,Annual Est.,37527.25,,n/a,,DEC,4.0,2016-12-01
Santa Clara,CalWIN,2016,Annual Est.,110279.083333,,n/a,,DEC,4.0,2016-12-01
Santa Cruz,CalWIN,2016,Annual Est.,26172.1666667,,n/a,,DEC,4.0,2016-12-01
Shasta,C-IV,2016,Annual Est.,25060.0,,n/a,,DEC,4.0,2016-12-01
Sierra,C-IV,2016,5-yr. Est.,310.583333333,,2012-2016,,DEC,4.0,2016-12-01
Siskiyou,C-IV,2016,5-yr. Est.,7063.33333333,,2012-2016,,DEC,4.0,2016-12-01
Solano,CalWIN,2016,Annual Est.,43965.0,,n/a,,DEC,4.0,2016-12-01
Sonoma,CalWIN,2016,Annual Est.,35910.3333333,,n/a,,DEC,4.0,2016-12-01
Stanislaus,C-IV,2016,Annual Est.,92058.5833333,,n/a,,DEC,4.0,2016-12-01
Sutter,C-IV,2016,Annual Est.,13189.5833333,,n/a,,DEC,4.0,2016-12-01
Tehama,C-IV,2016,5-yr. Est.,10410.6666667,,2012-2016,,DEC,4.0,2016-12-01
Trinity,C-IV,2016,5-yr. Est.,1829.5,,2012-2016,,DEC,4.0,2016-12-01
Tulare,CalWIN,2016,Annual Est.,124919.25,,n/a,,DEC,4.0,2016-12-01
Tuolumne,C-IV,2016,5-yr. Est.,5602.41666667,,2012-2016,,DEC,4.0,2016-12-01
Ventura,CalWIN,2016,Annual Est.,75913.6666667,,n/a,,DEC,4.0,2016-12-01
Yolo,CalWIN,2016,Annual Est.,20856.6666667,,n/a,,DEC,4.0,2016-12-01
Yuba,C-IV,2016,Annual Est.,13621.1666667,,n/a,,DEC,4.0,2016-12-01
