,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Santa Barbara,3477.0,21.0,0.0,4401.0,78.0,20.0,7878.0,99.0,20.0,5911.0,11706.0,17617.0,24.0,21.0,217.0,128.0,241.0,149.0,0.0,26.0,26.0,0.0,0.0,0.0,8524.0,8524.0,0.0,1748497.0,8134.0,1756631.0
Santa Clara,9756.0,99.0,2.0,13270.0,240.0,405.0,23026.0,339.0,407.0,25313.0,30058.0,55371.0,228.0,106.0,576.0,312.0,804.0,418.0,2.0,570.0,572.0,0.0,0.0,0.0,23740.0,23740.0,0.0,5270503.0,110039.0,5380542.0
Santa Cruz  a/,1739.0,8.0,0.0,3161.0,20.0,3.0,4900.0,28.0,3.0,4050.0,6560.0,10610.0,16.0,9.0,55.0,22.0,71.0,31.0,0.0,4.0,4.0,0.0,0.0,0.0,5060.0,5060.0,0.0,963695.0,2958.0,966653.0
Shasta  a/,1750.0,0.0,0.0,3823.0,4.0,3.0,5573.0,4.0,3.0,4509.0,8763.0,13272.0,0.0,0.0,10.0,4.0,10.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,6107.0,6107.0,0.0,1263454.0,884.0,1264338.0
Sierra,19.0,0.0,0.0,49.0,0.0,0.0,68.0,0.0,0.0,57.0,109.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,14235.0,0.0,14235.0
Siskiyou,582.0,0.0,0.0,1164.0,5.0,1.0,1746.0,5.0,1.0,1600.0,2617.0,4217.0,0.0,0.0,14.0,5.0,14.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1914.0,1914.0,0.0,390458.0,500.0,390958.0
Solano,3070.0,3.0,0.0,3595.0,12.0,8.0,6665.0,15.0,8.0,8251.0,8201.0,16452.0,14.0,3.0,24.0,17.0,38.0,20.0,0.0,13.0,13.0,0.0,0.0,0.0,7433.0,7433.0,0.0,1539159.0,2544.0,1541703.0
Sonoma,1906.0,7.0,0.0,4024.0,18.0,7.0,5930.0,25.0,7.0,4481.0,8198.0,12679.0,23.0,7.0,44.0,29.0,67.0,36.0,0.0,8.0,8.0,0.0,0.0,0.0,6467.0,6467.0,0.0,1250873.0,3300.0,1254173.0
Stanislaus ,6132.0,46.0,2.0,8566.0,114.0,12.0,14698.0,160.0,14.0,16590.0,22523.0,39113.0,103.0,52.0,369.0,128.0,472.0,180.0,5.0,20.0,25.0,0.0,0.0,0.0,16307.0,16307.0,0.0,3699035.0,14672.0,3713707.0
Sutter,520.0,1.0,0.0,1547.0,8.0,1.0,2067.0,9.0,1.0,1499.0,4130.0,5629.0,5.0,1.0,18.0,9.0,23.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,2213.0,2213.0,0.0,518034.0,678.0,518712.0
Tehama,653.0,6.0,2.0,1427.0,14.0,5.0,2080.0,20.0,7.0,1777.0,3541.0,5318.0,14.0,8.0,34.0,19.0,48.0,27.0,6.0,6.0,12.0,0.0,0.0,0.0,2316.0,2316.0,0.0,496676.0,3271.0,499947.0
Trinity,110.0,0.0,0.0,262.0,0.0,0.0,372.0,0.0,0.0,306.0,624.0,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.0,372.0,0.0,87762.0,0.0,87762.0
Tulare,8586.0,115.0,1.0,12399.0,343.0,49.0,20985.0,458.0,50.0,24208.0,33615.0,57823.0,273.0,119.0,1063.0,715.0,1336.0,834.0,1.0,55.0,56.0,0.0,0.0,0.0,23125.0,23125.0,0.0,5200005.0,25514.0,5225519.0
Tuolumne,361.0,0.0,0.0,842.0,0.0,1.0,1203.0,0.0,1.0,945.0,1900.0,2845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1295.0,1295.0,0.0,250274.0,149.0,250423.0
Ventura,3945.0,14.0,3.0,6331.0,94.0,75.0,10276.0,108.0,78.0,10818.0,14891.0,25709.0,40.0,15.0,253.0,108.0,293.0,123.0,13.0,107.0,120.0,0.0,0.0,0.0,11292.0,11292.0,0.0,2373874.0,23106.0,2396980.0
Yolo  a/,1326.0,13.0,1.0,2008.0,33.0,21.0,3334.0,46.0,22.0,3499.0,4965.0,8464.0,28.0,13.0,89.0,71.0,117.0,84.0,1.0,34.0,35.0,0.0,0.0,0.0,3511.0,3511.0,0.0,761322.82,8530.5,769853.32
Yuba,904.0,0.0,0.0,1978.0,5.0,0.0,2882.0,5.0,0.0,2767.0,5416.0,8183.0,0.0,0.0,18.0,5.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3053.0,3053.0,0.0,741848.0,413.0,742261.0
,"a/  Counties reporting revised data:  Glenn, Santa Cruz, Shasta and Yolo.",,,,,,,,,"a/  Counties reporting revised data:  Glenn, Santa Cruz, Shasta and Yolo.",,,,,,,,,"a/  Counties reporting revised data:  Glenn, Santa Cruz, Shasta and Yolo.",,,,,,,,,"a/  Counties reporting revised data:  Glenn, Santa Cruz, Shasta and Yolo.",,
