,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
San Francisco,3278.0,150.0,2.0,21306.0,468.0,574.0,24584.0,618.0,576.0,7325.0,31202.0,38527.0,302.0,172.0,903.0,659.0,1205.0,831.0,2.0,793.0,795.0,0.0,0.0,0.0,27723.0,27723.0,0.0,6081804.0,199952.0,6281756.0
San Joaquin,6271.0,10.0,0.0,24290.0,396.0,63.0,30561.0,406.0,63.0,17146.0,63255.0,80401.0,25.0,10.0,918.0,396.0,943.0,406.0,0.0,81.0,81.0,0.0,0.0,0.0,33805.0,33805.0,0.0,11849777.0,13954.0,11863731.0
San Luis Obispo,1395.0,13.0,0.0,5315.0,35.0,17.0,6710.0,48.0,17.0,3411.0,10236.0,13647.0,25.0,13.0,88.0,38.0,113.0,51.0,0.0,21.0,21.0,0.0,0.0,0.0,7911.0,7911.0,0.0,1962854.0,7672.0,1970526.0
San Mateo,1881.0,48.0,2.0,5632.0,166.0,56.0,7513.0,214.0,58.0,4680.0,11254.0,15934.0,103.0,55.0,423.0,184.0,526.0,239.0,2.0,72.0,74.0,0.0,0.0,0.0,9015.0,9015.0,0.0,2480321.0,35263.0,2515584.0
Santa Barbara,4651.0,18.0,0.0,7119.0,85.0,9.0,11770.0,103.0,9.0,8382.0,18656.0,27038.0,40.0,19.0,283.0,91.0,323.0,110.0,0.0,10.0,10.0,0.0,0.0,0.0,13956.0,13956.0,0.0,3914973.92,10343.64,3925317.56
Santa Clara,10013.0,150.0,3.0,27110.0,529.0,586.0,37123.0,679.0,589.0,24533.0,58414.0,82947.0,305.0,184.0,1204.0,671.0,1509.0,855.0,4.0,836.0,840.0,0.0,0.0,0.0,41634.0,41634.0,0.0,12149624.0,235938.0,12385562.0
Santa Cruz,1675.0,12.0,0.0,6861.0,63.0,9.0,8536.0,75.0,9.0,3980.0,13841.0,17821.0,23.0,12.0,193.0,70.0,216.0,82.0,0.0,12.0,12.0,0.0,0.0,0.0,9828.0,9828.0,0.0,2658409.94,9408.97,2667818.91
Shasta,1633.0,0.0,0.0,7714.0,26.0,11.0,9347.0,26.0,11.0,4159.0,16016.0,20175.0,0.0,0.0,59.0,29.0,59.0,29.0,0.0,14.0,14.0,0.0,0.0,0.0,10055.0,10055.0,0.0,2844982.0,5616.0,2850598.0
Sierra,19.0,0.0,0.0,86.0,0.0,1.0,105.0,0.0,1.0,53.0,199.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,113.0,113.0,0.0,34465.0,200.0,34665.0
Siskiyou,464.0,0.0,0.0,1650.0,7.0,1.0,2114.0,7.0,1.0,1288.0,3789.0,5077.0,0.0,0.0,23.0,7.0,23.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2369.0,2369.0,0.0,738409.0,498.0,738907.0
Solano,4238.0,48.0,3.0,11258.0,138.0,44.0,15496.0,186.0,47.0,10600.0,21986.0,32586.0,121.0,52.0,362.0,149.0,483.0,201.0,3.0,45.0,48.0,0.0,0.0,0.0,17518.0,17518.0,0.0,4986141.84,30381.72,5016523.56
Sonoma,2599.0,33.0,1.0,9425.0,105.0,38.0,12024.0,138.0,39.0,6125.0,17497.0,23622.0,76.0,36.0,306.0,115.0,382.0,151.0,1.0,46.0,47.0,0.0,0.0,0.0,13240.0,13240.0,0.0,3523073.42,21812.21,3544885.63
Stanislaus,7681.0,28.0,0.0,20634.0,117.0,22.0,28315.0,145.0,22.0,20191.0,47292.0,67483.0,68.0,32.0,375.0,124.0,443.0,156.0,0.0,27.0,27.0,0.0,0.0,0.0,30456.0,30456.0,0.0,9661724.0,22957.0,9684681.0
Sutter,697.0,0.0,0.0,3022.0,59.0,3.0,3719.0,59.0,3.0,2037.0,7624.0,9661.0,0.0,0.0,175.0,78.0,175.0,78.0,0.0,4.0,4.0,0.0,0.0,0.0,4152.0,4152.0,0.0,1384358.0,9538.0,1393896.0
Tehama,673.0,2.0,0.0,2655.0,34.0,10.0,3328.0,36.0,10.0,1839.0,6242.0,8081.0,5.0,2.0,92.0,41.0,97.0,43.0,0.0,14.0,14.0,0.0,0.0,0.0,3601.0,3601.0,0.0,1160667.0,8161.0,1168828.0
Trinity,76.0,0.0,0.0,490.0,0.0,0.0,566.0,0.0,0.0,202.0,1084.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,566.0,0.0,186990.0,0.0,186990.0
Tulare,10008.0,110.0,0.0,26598.0,514.0,88.0,36606.0,624.0,88.0,27474.0,65469.0,92943.0,291.0,114.0,1578.0,549.0,1869.0,663.0,0.0,103.0,103.0,0.0,0.0,0.0,42287.0,42287.0,0.0,13577702.0,83894.0,13661596.0
Tuolumne,551.0,0.0,0.0,1783.0,0.0,3.0,2334.0,0.0,3.0,1525.0,3468.0,4993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,2470.0,2470.0,0.0,674251.0,945.0,675196.0
Ventura,4575.0,36.0,0.0,19843.0,214.0,51.0,24418.0,250.0,51.0,11287.0,41460.0,52747.0,95.0,46.0,646.0,242.0,741.0,288.0,0.0,70.0,70.0,0.0,0.0,0.0,26948.0,26948.0,0.0,7755482.0,37346.0,7792828.0
Yolo,1363.0,54.0,0.0,4414.0,99.0,58.0,5777.0,153.0,58.0,3540.0,9695.0,13235.0,148.0,82.0,276.0,119.0,424.0,201.0,0.0,79.0,79.0,0.0,0.0,0.0,6575.0,6575.0,0.0,1999071.67,32550.95,2031622.62
Yuba,940.0,0.0,0.0,3984.0,28.0,14.0,4924.0,28.0,14.0,2742.0,8810.0,11552.0,0.0,0.0,57.0,31.0,57.0,31.0,0.0,25.0,25.0,0.0,0.0,0.0,5279.0,5279.0,0.0,1685754.0,7500.0,1693254.0
