,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1269877700.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Santa Barbara,2972.0,12.0,0.0,13041.0,102.0,25.0,16013.0,114.0,25.0,7379.0,28153.0,35532.0,25.0,15.0,280.0,115.0,305.0,130.0,0.0,32.0,32.0,0.0,0.0,0.0,17984.0,17984.0,0.0,4986948.0,17401.0,5004349.0,
Santa Clara,6720.0,112.0,2.0,45557.0,817.0,792.0,52277.0,929.0,794.0,16025.0,92141.0,108166.0,221.0,142.0,1711.0,1118.0,1932.0,1260.0,2.0,1188.0,1190.0,0.0,0.0,0.0,57399.0,57399.0,0.0,15641708.0,315841.0,15957549.0,
Santa Cruz,1446.0,2.0,0.0,11072.0,50.0,10.0,12518.0,52.0,10.0,3500.0,20955.0,24455.0,4.0,2.0,130.0,55.0,134.0,57.0,0.0,10.0,10.0,0.0,0.0,0.0,13888.0,13888.0,0.0,3442733.0,8075.0,3450808.0,
Shasta,1621.0,2.0,0.0,10565.0,31.0,14.0,12186.0,33.0,14.0,4061.0,19977.0,24038.0,2.0,2.0,79.0,34.0,81.0,36.0,0.0,22.0,22.0,0.0,0.0,0.0,12995.0,12995.0,0.0,3325633.0,7063.0,3332696.0,
Sierra,14.0,0.0,0.0,156.0,0.0,0.0,170.0,0.0,0.0,33.0,256.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,186.0,0.0,41702.0,0.0,41702.0,
Siskiyou,481.0,0.0,0.0,2672.0,6.0,1.0,3153.0,6.0,1.0,1320.0,5605.0,6925.0,0.0,0.0,13.0,6.0,13.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3369.0,3369.0,0.0,947566.0,657.0,948223.0,
Solano,3481.0,30.0,0.0,18236.0,144.0,42.0,21717.0,174.0,42.0,8377.0,34260.0,42637.0,74.0,34.0,354.0,162.0,428.0,196.0,0.0,47.0,47.0,0.0,0.0,0.0,23554.0,23554.0,0.0,6254336.59,31607.41,6285944.0,
Sonoma,2026.0,41.0,1.0,16654.0,181.0,46.0,18680.0,222.0,47.0,4895.0,29300.0,34195.0,100.0,44.0,435.0,215.0,535.0,259.0,1.0,59.0,60.0,0.0,0.0,0.0,20535.0,20535.0,0.0,5010223.0,35114.0,5045337.0,
Stanislaus,6868.0,25.0,1.0,35322.0,123.0,24.0,42190.0,148.0,25.0,18143.0,73627.0,91770.0,72.0,27.0,328.0,140.0,400.0,167.0,1.0,34.0,35.0,0.0,0.0,0.0,44627.0,44627.0,0.0,13004832.0,22329.0,13027161.0,
Sutter,828.0,11.0,0.0,4639.0,49.0,13.0,5467.0,60.0,13.0,2171.0,10538.0,12709.0,30.0,14.0,132.0,61.0,162.0,75.0,0.0,17.0,17.0,0.0,0.0,0.0,5866.0,5866.0,0.0,1784125.0,10017.0,1794142.0,
Tehama,735.0,3.0,0.0,4094.0,18.0,4.0,4829.0,21.0,4.0,1989.0,8715.0,10704.0,8.0,3.0,61.0,18.0,69.0,21.0,0.0,5.0,5.0,0.0,0.0,0.0,5223.0,5223.0,0.0,1478951.0,3269.0,1482220.0,
Trinity,85.0,0.0,0.0,823.0,2.0,1.0,908.0,2.0,1.0,205.0,1510.0,1715.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1013.0,1013.0,0.0,250772.0,457.0,251229.0,
Tulare,9481.0,85.0,2.0,40024.0,834.0,192.0,49505.0,919.0,194.0,26021.0,93716.0,119737.0,208.0,91.0,1781.0,686.0,1989.0,777.0,2.0,228.0,230.0,0.0,0.0,0.0,53134.0,53134.0,0.0,16798748.0,124977.0,16923725.0,
Tuolumne,377.0,3.0,0.0,2592.0,4.0,0.0,2969.0,7.0,0.0,961.0,4442.0,5403.0,9.0,3.0,11.0,4.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3150.0,3150.0,0.0,766305.0,894.0,767199.0,
Ventura,3649.0,15.0,0.0,30443.0,318.0,126.0,34092.0,333.0,126.0,9020.0,60781.0,69801.0,30.0,21.0,839.0,367.0,869.0,388.0,0.0,155.0,155.0,0.0,0.0,0.0,36878.0,36878.0,0.0,10020996.0,69894.0,10090890.0,
Yolo,1008.0,44.0,1.0,7393.0,133.0,78.0,8401.0,177.0,79.0,2623.0,14952.0,17575.0,91.0,73.0,324.0,175.0,415.0,248.0,1.0,105.0,106.0,0.0,0.0,0.0,9296.0,9296.0,0.0,2515450.0,44772.0,2560222.0,
Yuba,992.0,7.0,1.0,4891.0,34.0,8.0,5883.0,41.0,9.0,2697.0,10360.0,13057.0,15.0,7.0,99.0,39.0,114.0,46.0,1.0,8.0,9.0,0.0,0.0,0.0,6188.0,6188.0,0.0,1852838.0,6211.0,1859049.0,
