,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH ,,,,,,,,,PART A.  PARTICIPATION,,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1227351818.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
San Francisco,2293.0,148.0,8.0,30845.0,829.0,823.0,33138.0,977.0,831.0,4559.0,44106.0,48665.0,278.0,174.0,1542.0,1037.0,1820.0,1211.0,15.0,1129.0,1144.0,0.0,0.0,0.0,38755.0,38755.0,0.0,7477853.0,314839.0,7792692.0,
San Joaquin,7402.0,77.0,0.0,44164.0,474.0,158.0,51566.0,551.0,158.0,18722.0,96193.0,114915.0,196.0,92.0,1309.0,576.0,1505.0,668.0,0.0,227.0,227.0,0.0,0.0,0.0,54663.0,54663.0,0.0,15676828.0,96663.0,15773491.0,
San Luis Obispo,929.0,5.0,0.0,9050.0,49.0,6.0,9979.0,54.0,6.0,2339.0,15704.0,18043.0,19.0,6.0,131.0,59.0,150.0,65.0,0.0,8.0,8.0,0.0,0.0,0.0,10418.0,10418.0,0.0,2454562.0,4958.0,2459520.0,
San Mateo,900.0,29.0,1.0,13753.0,448.0,178.0,14653.0,477.0,179.0,2103.0,25632.0,27735.0,74.0,31.0,1060.0,558.0,1134.0,589.0,1.0,235.0,236.0,0.0,0.0,0.0,17870.0,17870.0,0.0,3817233.0,78499.0,3895732.0,
Santa Barbara,2126.0,16.0,1.0,16220.0,135.0,61.0,18346.0,151.0,62.0,5550.0,32356.0,37906.0,33.0,16.0,362.0,149.0,395.0,165.0,3.0,75.0,78.0,0.0,0.0,0.0,21592.0,21592.0,0.0,5128939.0,27272.0,5156211.0,
Santa Clara,4460.0,108.0,3.0,47178.0,842.0,677.0,51638.0,950.0,680.0,10661.0,89478.0,100139.0,222.0,130.0,1830.0,1109.0,2052.0,1239.0,6.0,978.0,984.0,0.0,0.0,0.0,55555.0,55555.0,0.0,13907218.0,262756.0,14169974.0,
Santa Cruz,1108.0,3.0,0.0,13653.0,52.0,9.0,14761.0,55.0,9.0,2700.0,24151.0,26851.0,7.0,3.0,111.0,62.0,118.0,65.0,0.0,12.0,12.0,0.0,0.0,0.0,17053.0,17053.0,0.0,3632559.0,8132.0,3640691.0,
Shasta,1316.0,3.0,0.0,11647.0,32.0,17.0,12963.0,35.0,17.0,3179.0,21126.0,24305.0,4.0,3.0,73.0,37.0,77.0,40.0,0.0,18.0,18.0,0.0,0.0,0.0,14047.0,14047.0,0.0,3253114.0,6088.0,3259202.0,
Sierra,8.0,0.0,0.0,152.0,0.0,0.0,160.0,0.0,0.0,22.0,248.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,169.0,0.0,37088.0,0.0,37088.0,
Siskiyou,372.0,2.0,0.0,2825.0,7.0,3.0,3197.0,9.0,3.0,1020.0,5699.0,6719.0,4.0,2.0,19.0,9.0,23.0,11.0,0.0,4.0,4.0,0.0,0.0,0.0,3367.0,3367.0,0.0,901297.0,1664.0,902961.0,
Solano,2626.0,24.0,0.0,19718.0,172.0,58.0,22344.0,196.0,58.0,6239.0,35575.0,41814.0,59.0,28.0,388.0,196.0,447.0,224.0,0.0,79.0,79.0,0.0,0.0,0.0,23702.0,23702.0,0.0,6024327.0,36825.0,6061152.0,
