,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Solano,4005.0,42.0,1.0,10417.0,129.0,52.0,14422.0,171.0,53.0,10064.0,20218.0,30282.0,109.0,45.0,348.0,140.0,457.0,185.0,1.0,59.0,60.0,0.0,0.0,0.0,16286.0,16286.0,0.0,4664055.0,29567.0,4693622.0
Sonoma,2462.0,31.0,0.0,8249.0,94.0,29.0,10711.0,125.0,29.0,5784.0,15591.0,21375.0,69.0,34.0,237.0,99.0,306.0,133.0,0.0,38.0,38.0,0.0,0.0,0.0,11797.0,11797.0,0.0,3192536.33,18750.9,3211287.23
Stanislaus,7308.0,38.0,1.0,18715.0,123.0,15.0,26023.0,161.0,16.0,18794.0,43793.0,62587.0,99.0,41.0,381.0,136.0,480.0,177.0,1.0,17.0,18.0,0.0,0.0,0.0,28052.0,28052.0,0.0,9017015.0,22036.0,9039051.0
Sutter,659.0,0.0,0.0,2734.0,52.0,6.0,3393.0,52.0,6.0,1949.0,6858.0,8807.0,0.0,0.0,147.0,68.0,147.0,68.0,0.0,8.0,8.0,0.0,0.0,0.0,3705.0,3705.0,0.0,1276370.0,9560.0,1285930.0
Tehama,639.0,2.0,0.0,2441.0,22.0,10.0,3080.0,24.0,10.0,1718.0,5797.0,7515.0,4.0,2.0,66.0,24.0,70.0,26.0,0.0,11.0,11.0,0.0,0.0,0.0,3346.0,3346.0,0.0,1083635.0,5148.0,1088783.0
Trinity,97.0,0.0,0.0,496.0,0.0,0.0,593.0,0.0,0.0,252.0,1034.0,1286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,593.0,0.0,187326.0,0.0,187326.0
Tulare,9335.0,90.0,1.0,24450.0,529.0,83.0,33785.0,619.0,84.0,25708.0,59178.0,84886.0,228.0,93.0,1665.0,564.0,1893.0,657.0,1.0,96.0,97.0,0.0,0.0,0.0,36565.0,36565.0,0.0,12364784.0,77527.0,12442311.0
Tuolumne,538.0,0.0,0.0,1608.0,0.0,2.0,2146.0,0.0,2.0,1431.0,3152.0,4583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2264.0,2264.0,0.0,635834.0,681.0,636515.0
Ventura,4156.0,40.0,0.0,17549.0,199.0,68.0,21705.0,239.0,68.0,10433.0,37029.0,47462.0,99.0,51.0,570.0,222.0,669.0,273.0,0.0,88.0,88.0,0.0,0.0,0.0,24219.0,24219.0,0.0,7022558.0,38676.0,7061234.0
Yolo,1310.0,44.0,0.0,4047.0,85.0,44.0,5357.0,129.0,44.0,3397.0,8992.0,12389.0,115.0,65.0,243.0,107.0,358.0,172.0,0.0,62.0,62.0,0.0,0.0,0.0,6090.0,6090.0,0.0,1854071.0,26635.0,1880706.0
Yuba,818.0,0.0,0.0,3824.0,31.0,13.0,4642.0,31.0,13.0,2263.0,8826.0,11089.0,0.0,0.0,83.0,37.0,83.0,37.0,0.0,23.0,23.0,0.0,0.0,0.0,5004.0,5004.0,0.0,1604679.0,7268.0,1611947.0
