,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Santa Clara,9757.0,119.0,2.0,12833.0,230.0,365.0,22590.0,349.0,367.0,25432.0,29348.0,54780.0,274.0,126.0,542.0,293.0,816.0,419.0,2.0,512.0,514.0,0.0,0.0,0.0,23271.0,23271.0,0.0,5202710.0,102824.0,5305534.0
Santa Cruz,1666.0,10.0,0.0,3059.0,24.0,3.0,4725.0,34.0,3.0,3943.0,6388.0,10331.0,19.0,11.0,52.0,26.0,71.0,37.0,0.0,4.0,4.0,0.0,0.0,0.0,5223.0,5223.0,0.0,1000581.0,2378.0,1002959.0
Shasta,1826.0,0.0,0.0,3733.0,3.0,4.0,5559.0,3.0,4.0,4785.0,8697.0,13482.0,0.0,0.0,5.0,3.0,5.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,6075.0,6075.0,0.0,1255153.0,1054.0,1256207.0
Sierra,22.0,0.0,0.0,43.0,0.0,0.0,65.0,0.0,0.0,64.0,82.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,0.0,11832.0,0.0,11832.0
Siskiyou,595.0,0.0,0.0,1137.0,4.0,1.0,1732.0,4.0,1.0,1653.0,2469.0,4122.0,0.0,0.0,11.0,4.0,11.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1879.0,1879.0,0.0,384193.0,611.0,384804.0
Solano,3065.0,4.0,0.0,3448.0,14.0,12.0,6513.0,18.0,12.0,8273.0,7747.0,16020.0,11.0,4.0,28.0,19.0,39.0,23.0,0.0,20.0,20.0,0.0,0.0,0.0,7309.0,7309.0,0.0,1494035.0,3679.0,1497714.0
Sonoma,1843.0,6.0,0.0,3916.0,22.0,6.0,5759.0,28.0,6.0,4451.0,7912.0,12363.0,16.0,6.0,57.0,24.0,73.0,30.0,0.0,6.0,6.0,0.0,0.0,0.0,6216.0,6216.0,0.0,1194294.0,3307.0,1197601.0
Stanislaus ,6065.0,59.0,2.0,8051.0,96.0,16.0,14116.0,155.0,18.0,16612.0,21432.0,38044.0,134.0,68.0,320.0,107.0,454.0,175.0,3.0,22.0,25.0,0.0,0.0,0.0,16178.0,16178.0,0.0,3559480.0,14587.0,3574067.0
Sutter,542.0,0.0,0.0,1466.0,12.0,0.0,2008.0,12.0,0.0,1761.0,3851.0,5612.0,0.0,0.0,33.0,14.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2157.0,2157.0,0.0,504786.0,504.0,505290.0
Tehama,692.0,4.0,1.0,1347.0,16.0,3.0,2039.0,20.0,4.0,1870.0,3368.0,5238.0,9.0,4.0,38.0,21.0,47.0,25.0,4.0,3.0,7.0,0.0,0.0,0.0,2226.0,2226.0,0.0,482002.0,2810.0,484812.0
Trinity,116.0,0.0,0.0,262.0,0.0,0.0,378.0,0.0,0.0,326.0,594.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,378.0,0.0,86513.0,0.0,86513.0
Tulare,10651.0,133.0,3.0,9898.0,321.0,45.0,20549.0,454.0,48.0,32836.0,24413.0,57249.0,299.0,148.0,987.0,659.0,1286.0,807.0,3.0,49.0,52.0,0.0,0.0,0.0,23066.0,23066.0,0.0,5204227.0,27455.0,5231682.0
Tuolumne,375.0,0.0,0.0,795.0,0.0,1.0,1170.0,0.0,1.0,972.0,1818.0,2790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1267.0,1267.0,0.0,244019.0,149.0,244168.0
Ventura,4028.0,14.0,3.0,6265.0,105.0,61.0,10293.0,119.0,64.0,11110.0,15010.0,26120.0,41.0,15.0,276.0,119.0,317.0,134.0,13.0,89.0,102.0,0.0,0.0,0.0,11197.0,11197.0,0.0,2422632.0,20863.0,2443495.0
Yolo,1319.0,11.0,1.0,1957.0,33.0,17.0,3276.0,44.0,18.0,3473.0,4907.0,8380.0,29.0,12.0,103.0,71.0,132.0,83.0,1.0,24.0,25.0,0.0,0.0,0.0,3338.0,3338.0,0.0,794123.0,8179.0,802302.0
Yuba,989.0,0.0,0.0,1854.0,4.0,0.0,2843.0,4.0,0.0,3083.0,5128.0,8211.0,0.0,0.0,17.0,4.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.0,3030.0,0.0,725745.0,451.0,726196.0
,a/  County reporting revised data:  Glenn.,,,,,,,,,a/  County reporting revised data:  Glenn.,,,,,,,,,a/  County reporting revised data:  Glenn.,,,,,,,,,a/  County reporting revised data:  Glenn.,,
