,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1272961456.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
San Francisco,2646.0,167.0,5.0,28734.0,656.0,753.0,31380.0,823.0,758.0,5869.0,44018.0,49887.0,291.0,181.0,1592.0,1049.0,1883.0,1230.0,5.0,895.0,900.0,0.0,0.0,0.0,35765.0,35765.0,0.0,7378495.0,238267.0,7616762.0,
San Joaquin,9308.0,65.0,1.0,40386.0,453.0,145.0,49694.0,518.0,146.0,23947.0,91859.0,115806.0,164.0,69.0,1233.0,540.0,1397.0,609.0,1.0,216.0,217.0,0.0,0.0,0.0,53278.0,53278.0,0.0,16254973.0,93471.0,16348444.0,
San Luis Obispo,1118.0,3.0,0.0,8388.0,52.0,12.0,9506.0,55.0,12.0,2762.0,15009.0,17771.0,6.0,4.0,130.0,58.0,136.0,62.0,0.0,14.0,14.0,0.0,0.0,0.0,10143.0,10143.0,0.0,2467333.0,8978.0,2476311.0,
San Mateo,1321.0,55.0,0.0,14031.0,469.0,184.0,15352.0,524.0,184.0,3295.0,26773.0,30068.0,112.0,71.0,1142.0,576.0,1254.0,647.0,0.0,239.0,239.0,0.0,0.0,0.0,18311.0,18311.0,0.0,4285591.0,94676.0,4380267.0,
Santa Barbara,2606.0,18.0,0.0,12925.0,91.0,34.0,15531.0,109.0,34.0,6713.0,27341.0,34054.0,39.0,19.0,244.0,100.0,283.0,119.0,0.0,41.0,41.0,0.0,0.0,0.0,18417.0,18417.0,0.0,4620291.0,18350.0,4638641.0,
Santa Clara,6952.0,140.0,11.0,46517.0,860.0,827.0,53469.0,1000.0,838.0,16690.0,92183.0,108873.0,267.0,166.0,1761.0,1141.0,2028.0,1307.0,18.0,1213.0,1231.0,0.0,0.0,0.0,58563.0,58563.0,0.0,15564898.0,323577.0,15888475.0,
Santa Cruz,1253.0,3.0,0.0,11095.0,43.0,8.0,12348.0,46.0,8.0,3022.0,20523.0,23545.0,4.0,2.0,115.0,45.0,119.0,47.0,0.0,8.0,8.0,0.0,0.0,0.0,14284.0,14284.0,0.0,3270159.0,5558.0,3275717.0,
Shasta,1539.0,2.0,0.0,11142.0,26.0,11.0,12681.0,28.0,11.0,3832.0,20722.0,24554.0,2.0,2.0,66.0,29.0,68.0,31.0,0.0,18.0,18.0,0.0,0.0,0.0,13448.0,13448.0,0.0,3353450.0,5748.0,3359198.0,
Sierra,9.0,0.0,0.0,153.0,1.0,0.0,162.0,1.0,0.0,22.0,270.0,292.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,168.0,0.0,41518.0,289.0,41807.0,
Siskiyou,442.0,0.0,0.0,2736.0,5.0,1.0,3178.0,5.0,1.0,1213.0,5674.0,6887.0,0.0,0.0,13.0,5.0,13.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,3408.0,3408.0,0.0,935006.0,557.0,935563.0,
Solano,3445.0,20.0,0.0,18634.0,148.0,45.0,22079.0,168.0,45.0,8271.0,34614.0,42885.0,54.0,21.0,348.0,166.0,402.0,187.0,0.0,57.0,57.0,0.0,0.0,0.0,23611.0,23611.0,0.0,6247191.0,31320.0,6278511.0,
Sonoma,1959.0,31.0,1.0,17065.0,192.0,56.0,19024.0,223.0,57.0,4658.0,29440.0,34098.0,80.0,34.0,457.0,210.0,537.0,244.0,1.0,71.0,72.0,0.0,0.0,0.0,22059.0,22059.0,0.0,4899873.0,34521.0,4934394.0,
Stanislaus,6773.0,29.0,2.0,35912.0,135.0,22.0,42685.0,164.0,24.0,17801.0,74311.0,92112.0,77.0,32.0,374.0,151.0,451.0,183.0,2.0,30.0,32.0,0.0,0.0,0.0,45076.0,45076.0,0.0,12822042.0,21937.0,12843979.0,
Sutter,777.0,14.0,0.0,4776.0,50.0,6.0,5553.0,64.0,6.0,2068.0,10767.0,12835.0,35.0,17.0,125.0,64.0,160.0,81.0,0.0,7.0,7.0,0.0,0.0,0.0,5883.0,5883.0,0.0,1764841.0,9350.0,1774191.0,
Tehama,734.0,3.0,0.0,4252.0,16.0,4.0,4986.0,19.0,4.0,1960.0,9109.0,11069.0,7.0,3.0,54.0,17.0,61.0,20.0,0.0,5.0,5.0,0.0,0.0,0.0,5313.0,5313.0,0.0,1494385.0,3247.0,1497632.0,
Trinity,82.0,0.0,0.0,918.0,0.0,1.0,1000.0,0.0,1.0,188.0,1649.0,1837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1047.0,1047.0,0.0,260791.0,189.0,260980.0,
Tulare,9191.0,66.0,2.0,40898.0,607.0,211.0,50089.0,673.0,213.0,25181.0,104306.0,129487.0,163.0,69.0,2013.0,787.0,2176.0,856.0,2.0,253.0,255.0,0.0,0.0,0.0,53795.0,53795.0,0.0,16482521.0,114888.0,16597409.0,
Tuolumne,391.0,2.0,0.0,2610.0,5.0,1.0,3001.0,7.0,1.0,1010.0,4519.0,5529.0,6.0,2.0,12.0,5.0,18.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,3209.0,3209.0,0.0,765220.0,931.0,766151.0,
Ventura,3552.0,23.0,0.0,31007.0,311.0,131.0,34559.0,334.0,131.0,8882.0,66421.0,75303.0,49.0,33.0,1036.0,450.0,1085.0,483.0,0.0,160.0,160.0,0.0,0.0,0.0,39948.0,39948.0,0.0,9911146.0,98193.0,10009339.0,
Yolo,1052.0,38.0,0.0,7556.0,134.0,85.0,8608.0,172.0,85.0,2651.0,14879.0,17530.0,80.0,60.0,318.0,172.0,398.0,232.0,0.0,113.0,113.0,0.0,0.0,0.0,10336.0,10336.0,0.0,2486436.0,45141.0,2531577.0,
Yuba,1031.0,6.0,1.0,4951.0,31.0,6.0,5982.0,37.0,7.0,2796.0,10498.0,13294.0,11.0,7.0,91.0,37.0,102.0,44.0,1.0,8.0,9.0,0.0,0.0,0.0,6407.0,6407.0,0.0,1856929.0,5216.0,1862145.0,
