,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Shasta,1771.0,4.0,0.0,10282.0,21.0,14.0,12053.0,25.0,14.0,4448.0,19619.0,24067.0,10.0,4.0,45.0,24.0,55.0,28.0,0.0,22.0,22.0,0.0,0.0,0.0,12791.0,12791.0,0.0,3485046.0,7237.0,3492283.0
Sierra,12.0,0.0,0.0,142.0,0.0,0.0,154.0,0.0,0.0,31.0,257.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,160.0,0.0,43322.0,0.0,43322.0
Siskiyou  b/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,3332.0,27.0,0.0,16948.0,131.0,36.0,20280.0,158.0,36.0,7952.0,32592.0,40544.0,59.0,30.0,341.0,150.0,400.0,180.0,0.0,42.0,42.0,0.0,0.0,0.0,22248.0,22248.0,0.0,6273933.41,28736.45,6302669.86
Sonoma,2211.0,39.0,0.0,15996.0,202.0,53.0,18207.0,241.0,53.0,5343.0,28168.0,33511.0,93.0,40.0,495.0,229.0,588.0,269.0,0.0,64.0,64.0,0.0,0.0,0.0,20120.0,20120.0,0.0,5164250.0,37351.0,5201601.0
Stanislaus,7170.0,19.0,1.0,33290.0,131.0,27.0,40460.0,150.0,28.0,18833.0,70155.0,88988.0,43.0,22.0,351.0,146.0,394.0,168.0,1.0,39.0,40.0,0.0,0.0,0.0,42561.0,42561.0,0.0,13032544.0,25850.0,13058394.0
Sutter,789.0,10.0,0.0,4095.0,27.0,5.0,4884.0,37.0,5.0,2175.0,9502.0,11677.0,24.0,12.0,83.0,30.0,107.0,42.0,0.0,6.0,6.0,0.0,0.0,0.0,5204.0,5204.0,0.0,1686764.0,5844.0,1692608.0
Tehama,724.0,0.0,0.0,3357.0,11.0,6.0,4081.0,11.0,6.0,2025.0,7526.0,9551.0,0.0,0.0,32.0,13.0,32.0,13.0,0.0,9.0,9.0,0.0,0.0,0.0,4395.0,4395.0,0.0,1375619.0,2762.0,1378381.0
Trinity,77.0,0.0,0.0,741.0,0.0,1.0,818.0,0.0,1.0,172.0,1434.0,1606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,868.0,868.0,0.0,235438.0,367.0,235805.0
Tulare,8811.0,65.0,0.0,35474.0,513.0,144.0,44285.0,578.0,144.0,24237.0,84082.0,108319.0,150.0,65.0,1461.0,565.0,1611.0,630.0,0.0,180.0,180.0,0.0,0.0,0.0,47596.0,47596.0,0.0,15980078.0,99866.0,16079944.0
Tuolumne,392.0,0.0,0.0,2381.0,6.0,1.0,2773.0,6.0,1.0,1006.0,4111.0,5117.0,0.0,0.0,16.0,6.0,16.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,2959.0,2959.0,0.0,757143.0,1296.0,758439.0
Ventura,3759.0,24.0,0.0,27768.0,245.0,77.0,31527.0,269.0,77.0,9463.0,55923.0,65386.0,53.0,28.0,644.0,284.0,697.0,312.0,0.0,100.0,100.0,0.0,0.0,0.0,34045.0,34045.0,0.0,9612082.53,46860.4,9658942.93
Yolo,994.0,28.0,0.0,6589.0,108.0,72.0,7583.0,136.0,72.0,2512.0,13739.0,16251.0,71.0,42.0,285.0,146.0,356.0,188.0,0.0,92.0,92.0,0.0,0.0,0.0,8372.0,8372.0,0.0,2437628.98,38112.17,2475741.15
Yuba,960.0,5.0,0.0,4658.0,22.0,5.0,5618.0,27.0,5.0,2521.0,10077.0,12598.0,7.0,5.0,61.0,25.0,68.0,30.0,0.0,5.0,5.0,0.0,0.0,0.0,5997.0,5997.0,0.0,1873564.0,5032.0,1878596.0
