,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Continued",,,,,,,,,"PART A.  PARTICIPATION, Continued",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Santa Cruz,1777.0,6.0,1.0,8292.0,64.0,8.0,10069.0,70.0,9.0,4249.0,16378.0,20627.0,13.0,6.0,194.0,71.0,207.0,77.0,2.0,9.0,11.0,0.0,0.0,0.0,11542.0,11542.0,0.0,3061230.68,9032.0,3070262.68
Shasta,2127.0,5.0,0.0,9198.0,14.0,15.0,11325.0,19.0,15.0,5455.0,18193.0,23648.0,8.0,5.0,37.0,16.0,45.0,21.0,0.0,19.0,19.0,0.0,0.0,0.0,12119.0,12119.0,0.0,3385111.0,5842.0,3390953.0
Sierra,20.0,0.0,0.0,98.0,0.0,0.0,118.0,0.0,0.0,65.0,181.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,35353.0,0.0,35353.0
Siskiyou,527.0,2.0,0.0,1941.0,2.0,1.0,2468.0,4.0,1.0,1449.0,4212.0,5661.0,5.0,3.0,6.0,2.0,11.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2681.0,2681.0,0.0,813791.0,392.0,814183.0
Solano,4170.0,43.0,1.0,14012.0,148.0,38.0,18182.0,191.0,39.0,10312.0,26879.0,37191.0,101.0,49.0,383.0,165.0,484.0,214.0,1.0,43.0,44.0,0.0,0.0,0.0,20574.0,20574.0,0.0,5730338.87,28781.09,5759119.96
Sonoma,2801.0,51.0,0.0,12621.0,148.0,55.0,15422.0,199.0,55.0,6777.0,22490.0,29267.0,116.0,54.0,410.0,175.0,526.0,229.0,0.0,65.0,65.0,0.0,0.0,0.0,17450.0,17450.0,0.0,4542525.41,35665.7,4578191.11
Stanislaus,8265.0,30.0,0.0,27366.0,135.0,33.0,35631.0,165.0,33.0,22386.0,59153.0,81539.0,80.0,34.0,382.0,145.0,462.0,179.0,0.0,42.0,42.0,0.0,0.0,0.0,37605.0,37605.0,0.0,11721370.0,27739.0,11749109.0
Sutter,1056.0,15.0,1.0,3374.0,44.0,3.0,4430.0,59.0,4.0,2885.0,8206.0,11091.0,42.0,17.0,133.0,56.0,175.0,73.0,1.0,4.0,5.0,0.0,0.0,0.0,4740.0,4740.0,0.0,1570466.0,8341.0,1578807.0
Tehama,908.0,11.0,1.0,2905.0,38.0,10.0,3813.0,49.0,11.0,2470.0,6603.0,9073.0,27.0,12.0,101.0,44.0,128.0,56.0,1.0,10.0,11.0,0.0,0.0,0.0,4183.0,4183.0,0.0,1314756.0,9687.0,1324443.0
Trinity,99.0,0.0,0.0,568.0,1.0,0.0,667.0,1.0,0.0,248.0,1176.0,1424.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,735.0,0.0,210635.0,151.0,210786.0
Tulare,10478.0,93.0,1.0,29733.0,487.0,122.0,40211.0,580.0,123.0,28724.0,74138.0,102862.0,224.0,98.0,1468.0,542.0,1692.0,640.0,3.0,146.0,149.0,0.0,0.0,0.0,44536.0,44536.0,0.0,14936419.0,89371.0,15025790.0
Tuolumne,458.0,0.0,0.0,2210.0,4.0,0.0,2668.0,4.0,0.0,1178.0,3892.0,5070.0,0.0,0.0,10.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2854.0,2854.0,0.0,750389.0,711.0,751100.0
Ventura,4414.0,39.0,1.0,24235.0,169.0,43.0,28649.0,208.0,44.0,11200.0,48952.0,60152.0,93.0,48.0,493.0,191.0,586.0,239.0,1.0,52.0,53.0,0.0,0.0,0.0,30797.0,30797.0,0.0,8819753.49,29779.19,8849532.68
Yolo,1334.0,52.0,0.0,5572.0,109.0,54.0,6906.0,161.0,54.0,3433.0,11821.0,15254.0,140.0,87.0,303.0,133.0,443.0,220.0,0.0,77.0,77.0,0.0,0.0,0.0,7663.0,7663.0,0.0,2281136.0,34794.0,2315930.0
Yuba,1229.0,8.0,0.0,4268.0,22.0,12.0,5497.0,30.0,12.0,3313.0,9369.0,12682.0,19.0,8.0,56.0,26.0,75.0,34.0,0.0,14.0,14.0,0.0,0.0,0.0,5927.0,5927.0,0.0,1869904.0,6640.0,1876544.0
