county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Orange,218.0,218.0,0.0,14662.0,14880.0,993.0,282.0,281.0,1.0,0.0,1.0,0.0,0.0,0.0,13684.0,5692.0,5663.0,22.0,3.0,19.0,7.0,4.0,3.0,14677.0,5974.0,5944.0,23.0,3.0,20.0,7.0,4.0,3.0,711.0,7992.0,8703.0,203.0,0.0,37.0,37.0,2016,APR,2.0,2016-04-01
Placer,25.0,22.0,3.0,935.0,960.0,11.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,928.0,432.0,397.0,15.0,0.0,15.0,20.0,0.0,20.0,939.0,437.0,400.0,17.0,0.0,17.0,20.0,0.0,20.0,6.0,496.0,502.0,21.0,0.0,0.0,0.0,2016,APR,2.0,2016-04-01
Plumas,26.0,29.0,-3.0,244.0,270.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,82.0,72.0,4.0,4.0,0.0,6.0,5.0,1.0,238.0,87.0,77.0,4.0,4.0,0.0,6.0,5.0,1.0,2.0,149.0,151.0,32.0,0.0,0.0,0.0,2016,APR,2.0,2016-04-01
Riverside,2230.0,2241.0,-11.0,31007.0,33237.0,1014.0,610.0,567.0,28.0,20.0,8.0,15.0,5.0,10.0,29186.0,11924.0,11285.0,367.0,207.0,160.0,272.0,179.0,93.0,30200.0,12534.0,11852.0,395.0,227.0,168.0,287.0,184.0,103.0,404.0,17262.0,17666.0,3037.0,5.0,200.0,205.0,2016,APR,2.0,2016-04-01
Sacramento,4425.0,4425.0,0.0,21567.0,25992.0,820.0,402.0,401.0,0.0,0.0,0.0,1.0,0.0,1.0,20649.0,5412.0,5367.0,36.0,0.0,36.0,9.0,0.0,9.0,21469.0,5814.0,5768.0,36.0,0.0,36.0,10.0,0.0,10.0,418.0,15237.0,15655.0,4523.0,1.0,68.0,69.0,2016,APR,2.0,2016-04-01
San Benito,64.0,70.0,-6.0,503.0,567.0,24.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,165.0,153.0,7.0,7.0,0.0,5.0,3.0,2.0,509.0,178.0,166.0,7.0,7.0,0.0,5.0,3.0,2.0,11.0,320.0,331.0,58.0,0.0,0.0,0.0,2016,APR,2.0,2016-04-01
San Bernardino,3040.0,3083.0,-43.0,36559.0,39599.0,1320.0,760.0,718.0,24.0,13.0,11.0,18.0,13.0,5.0,34660.0,16459.0,15831.0,376.0,213.0,163.0,252.0,184.0,68.0,35980.0,17219.0,16549.0,400.0,226.0,174.0,270.0,197.0,73.0,560.0,18201.0,18761.0,3619.0,5.0,82.0,87.0,2016,APR,2.0,2016-04-01
San Diego,268.0,420.0,-152.0,21542.0,21810.0,476.0,263.0,253.0,7.0,0.0,7.0,3.0,0.0,3.0,20861.0,7343.0,7204.0,104.0,0.0,104.0,35.0,0.0,35.0,21337.0,7606.0,7457.0,111.0,0.0,111.0,38.0,0.0,38.0,213.0,13518.0,13731.0,473.0,4.0,201.0,205.0,2016,APR,2.0,2016-04-01
San Francisco,219.0,213.0,6.0,4871.0,5090.0,147.0,96.0,81.0,8.0,0.0,8.0,7.0,0.0,7.0,4769.0,2095.0,1890.0,133.0,0.0,133.0,72.0,0.0,72.0,4916.0,2191.0,1971.0,141.0,0.0,141.0,79.0,0.0,79.0,51.0,2674.0,2725.0,174.0,2.0,4.0,6.0,2016,APR,2.0,2016-04-01
San Joaquin,1078.0,1136.0,-58.0,9208.0,10286.0,417.0,241.0,213.0,15.0,10.0,5.0,13.0,7.0,6.0,8597.0,3431.0,3116.0,153.0,113.0,40.0,162.0,129.0,33.0,9014.0,3672.0,3329.0,168.0,123.0,45.0,175.0,136.0,39.0,176.0,5166.0,5342.0,1272.0,0.0,4.0,4.0,2016,APR,2.0,2016-04-01
