county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Plumas,34.0,34.0,0.0,387.0,421.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,141.0,127.0,7.0,6.0,1.0,7.0,7.0,0.0,367.0,144.0,130.0,7.0,6.0,1.0,7.0,7.0,0.0,3.0,220.0,223.0,54.0,0.0,0.0,0.0,2015,JUL,3.0,2015-07-01
Riverside,3291.0,3294.0,-3.0,35736.0,39027.0,1276.0,767.0,725.0,26.0,14.0,12.0,16.0,9.0,7.0,34470.0,12887.0,11836.0,579.0,272.0,307.0,472.0,271.0,201.0,35746.0,13654.0,12561.0,605.0,286.0,319.0,488.0,280.0,208.0,509.0,21583.0,22092.0,3281.0,5.0,172.0,177.0,2015,JUL,3.0,2015-07-01
Sacramento,4831.0,4831.0,0.0,22967.0,27798.0,631.0,262.0,254.0,7.0,0.0,7.0,1.0,0.0,1.0,22398.0,4967.0,4907.0,47.0,0.0,47.0,13.0,0.0,13.0,23029.0,5229.0,5161.0,54.0,0.0,54.0,14.0,0.0,14.0,369.0,17431.0,17800.0,4769.0,0.0,73.0,73.0,2015,JUL,3.0,2015-07-01
San Benito,72.0,71.0,1.0,570.0,642.0,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,192.0,189.0,2.0,1.0,1.0,1.0,0.0,1.0,593.0,202.0,199.0,2.0,1.0,1.0,1.0,0.0,1.0,15.0,376.0,391.0,49.0,0.0,1.0,1.0,2015,JUL,3.0,2015-07-01
San Bernardino,3545.0,3586.0,-41.0,40148.0,43693.0,1404.0,762.0,710.0,32.0,18.0,14.0,20.0,12.0,8.0,38734.0,17337.0,16617.0,454.0,225.0,229.0,266.0,180.0,86.0,40138.0,18099.0,17327.0,486.0,243.0,243.0,286.0,192.0,94.0,642.0,21397.0,22039.0,3555.0,2.0,112.0,114.0,2015,JUL,3.0,2015-07-01
San Diego,391.0,414.0,-23.0,23408.0,23799.0,509.0,248.0,243.0,3.0,0.0,3.0,2.0,0.0,2.0,22812.0,7583.0,7423.0,111.0,0.0,111.0,49.0,0.0,49.0,23321.0,7831.0,7666.0,114.0,0.0,114.0,51.0,0.0,51.0,261.0,15229.0,15490.0,478.0,1.0,278.0,279.0,2015,JUL,3.0,2015-07-01
San Francisco,649.0,642.0,7.0,5505.0,6154.0,246.0,164.0,137.0,13.0,0.0,13.0,14.0,0.0,14.0,5161.0,2291.0,1984.0,146.0,0.0,146.0,161.0,0.0,161.0,5407.0,2455.0,2121.0,159.0,0.0,159.0,175.0,0.0,175.0,82.0,2870.0,2952.0,747.0,1.0,3.0,4.0,2015,JUL,3.0,2015-07-01
San Joaquin,1331.0,1353.0,-22.0,9807.0,11138.0,421.0,203.0,190.0,8.0,6.0,2.0,5.0,4.0,1.0,9518.0,3418.0,3121.0,162.0,110.0,52.0,135.0,99.0,36.0,9939.0,3621.0,3311.0,170.0,116.0,54.0,140.0,103.0,37.0,218.0,6100.0,6318.0,1199.0,0.0,3.0,3.0,2015,JUL,3.0,2015-07-01
San Luis Obispo,305.0,305.0,0.0,1122.0,1427.0,38.0,22.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,1093.0,589.0,565.0,18.0,0.0,18.0,6.0,0.0,6.0,1131.0,611.0,586.0,19.0,0.0,19.0,6.0,0.0,6.0,16.0,504.0,520.0,296.0,0.0,5.0,5.0,2015,JUL,3.0,2015-07-01
San Mateo,2467.0,2467.0,0.0,4161.0,6628.0,67.0,31.0,27.0,1.0,0.0,1.0,3.0,0.0,3.0,4090.0,1076.0,996.0,45.0,0.0,45.0,35.0,0.0,35.0,4157.0,1107.0,1023.0,46.0,0.0,46.0,38.0,0.0,38.0,36.0,3014.0,3050.0,2471.0,1.0,38.0,39.0,2015,JUL,3.0,2015-07-01
