The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,Child_Only_HHs_CF_July_CY,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
47 Siskiyou,C-IV,2013,2013/14,3074.5,2937.333333,6769.75,6538.083333,275,2872,154,192,0,0,44652,13754,8990,782,2475,0.132,10390.20674
48 Solano,CalWIN,2013,2013/14,21486.08333,20843.33333,42538,41574.16667,1823,20249,2463,6854,0,0,420701,80627,99820,20853,11691,0.09,61759.51409
49 Sonoma,CalWIN,2013,2013/14,18904.33333,19208.16667,34848.08333,35187.5,2351,17558,3484,10432,0,0,494416,115368,102168,24921,8547,0.07,71126.61558
50 Stanislaus,C-IV,2013,2013/14,42067.91667,41488.91667,91796.58333,90975,2893,46298,5663,17711,0,0,527687,86790,144854,48602,20057,0.129,125680.3264
51 Sutter,C-IV,2013,2013/14,5361.583333,5184.583333,12620.75,12365.83333,369,6642,689,2281,0,0,96540,17949,25540,8366,3778,0.146,22882.8572
52 Tehama,C-IV,2013,2013/14,4646.166667,4329.416667,10462.83333,9909.166667,363,5013,441,1199,0,0,63731,15013,15524,2603,3062,0.117,14220.39899
53 Trinity,C-IV,2013,2013/14,860.25,788.5833333,1646.666667,1561.75,89,622,45,12,0,0,13667,4574,2316,36,636,0.121,3100.499365
54 Tulare,CalWIN,2013,2013/14,48774.41667,46831.25,119335.25,115750.5,3459,67240,8233,37887,0,0,455854,66665,144191,60016,17554,0.144,147862.5926
55 Tuolumne,C-IV,2013,2013/14,2910.583333,2848.166667,5341.166667,5225.083333,299,1955,137,66,0,0,54894,17442,9195,696,1635,0.108,9822.277121
56 Ventura,CalWIN,2013,2013/14,33733.16667,32654.33333,70276.5,68079.58333,3498,37769,6844,25095,0,0,842639,156675,205639,76495,14764,0.079,112131.8937
57 Yolo,CalWIN,2013,2013/14,8366.583333,7975.916667,17722.75,17032.91667,774,8108,874,4707,0,0,208194,32642,46533,14762,5351,0.091,42449.3696
58 Yuba,C-IV,2013,2013/14,5834.75,5726.166667,13015.08333,12857.33333,341,6541,571,1586,0,0,74352,11813,21415,3382,3733,0.131,14308.2094
00 Statewide,n/a,2014,2014/15,2102019.833,2063159.833,4462182.417,4428870.833,234156,2226004,320176,1337933,0,0,38739410,7107137,9213655,3760183,1193089,0.075,6980318.993
01 Alameda,CalWIN,2014,2014/15,62337.5,63775.08333,122416.1667,125982.25,9307,60223,9205,40011,0,0,1599685,291375,342632,139309,47823,0.059,214362.7492
02 Alpine,C-IV,2014,2014/15,106.5,111.9166667,176.0833333,182.75,16,59,0,0,0,0,1163,353,223,23,39,0.088,227.604
03 Amador,C-IV,2014,2014/15,1760.416667,1753.833333,3356.916667,3367.75,250,1222,59,102,0,0,37447,12635,5905,559,696,0.083,5066.8769
04 Butte,C-IV,2014,2014/15,16067.75,15499.16667,31441.33333,30891.16667,1577,12850,878,2667,0,0,223899,52958,45701,5637,10866,0.087,54488.45734
05 Calaveras,C-IV,2014,2014/15,2878.75,2754.666667,5408.75,5204.5,437,1778,88,133,0,0,45009,15672,7781,598,1056,0.081,6481.84314
06 Colusa,C-IV,2014,2014/15,697.5,714.75,1641.583333,1694.5,84,1004,142,570,0,0,22139,4164,6179,3111,563,0.175,4329.111133
